player_id,player_name,order,team,opp_pitcher,p_hand,b_hand,iso,slg,sp_hr9_split,clash_badge,prob,score,target_call,rank
663993,Nathaniel Lowe,5,Cleveland Guardians,Tanner Gordon,R,L,0.219,0.463,2.52,ABOVE-AVG MATCHUP,0.4205,96.5,👑 APEX: Home Run Lock,1
800050,Chase DeLauter,2,Cleveland Guardians,Tanner Gordon,R,L,0.157,0.442,2.52,ABOVE-AVG MATCHUP,0.3237,92.4,👑 APEX: Home Run Lock,2
608070,José Ramírez,3,Cleveland Guardians,Tanner Gordon,R,S,0.143,0.382,2.52,ABOVE-AVG MATCHUP,0.2997,88.7,👑 APEX: Home Run Lock,3
804668,Rafael Flores Jr.,6,Pittsburgh Pirates,Yoshinobu Yamamoto,R,R,0.416,0.729,1.06,ABOVE-AVG MATCHUP,0.2985,88.5,👑 APEX: Home Run Lock,4
683953,Travis Bazzana,7,Cleveland Guardians,Tanner Gordon,R,L,0.136,0.369,2.52,ABOVE-AVG MATCHUP,0.2873,86.3,👑 APEX: Home Run Lock,5
678246,Miguel Vargas,3,Chicago White Sox,Sean Manaea,L,R,0.247,0.487,1.49,ELEVATED POWER EDGE,0.2768,83.9,👑 APEX: Home Run Lock,6
666176,Jo Adell,4,Cleveland Guardians,Tanner Gordon,R,R,0.271,0.479,1.13,ABOVE-AVG MATCHUP,0.2612,79.8,👑 APEX: Home Run Lock,7
571448,Nolan Arenado,5,Arizona Diamondbacks,Nick Lodolo,L,R,0.2,0.443,1.82,ABOVE-AVG MATCHUP,0.2537,77.5,👑 APEX: Home Run Lock,8
694197,Angel Genao,6,Cleveland Guardians,Tanner Gordon,R,S,0.111,0.444,2.52,ABOVE-AVG MATCHUP,0.2416,73.5,🔥 TARGET: Home Run Play,9
691718,Pete Crow-Armstrong,1,Chicago Cubs,Emerson Hancock,R,L,0.271,0.55,1.26,ELEVATED POWER EDGE,0.2371,71.9,🔥 TARGET: Home Run Play,10
670541,Yordan Alvarez,2,Houston Astros,J.T. Ginn,R,L,0.294,0.613,1.14,ABOVE-AVG MATCHUP,0.2362,71.5,🔥 TARGET: Home Run Play,11
621439,Byron Buxton,2,Minnesota Twins,Randy Vásquez,R,R,0.268,0.524,1.25,ELEVATED POWER EDGE,0.2286,68.7,🔥 TARGET: Home Run Play,12
801126,Brock Rodden,9,Seattle Mariners,Matthew Boyd,L,S,0.2,0.5,1.77,ABOVE-AVG MATCHUP,0.226,67.7,🔥 TARGET: Home Run Play,13
680664,Eduardo Valencia,5,Detroit Tigers,Noah Cameron,L,R,0.407,0.763,0.87,ABOVE-AVG MATCHUP,0.2234,66.6,🔥 TARGET: Home Run Play,14
672515,Gabriel Moreno,3,Arizona Diamondbacks,Nick Lodolo,L,R,0.163,0.47,1.82,ABOVE-AVG MATCHUP,0.2122,62.0,🔥 TARGET: Home Run Play,15
660271,Shohei Ohtani,1,Los Angeles Dodgers,Bubba Chandler,R,L,0.263,0.554,1.12,ABOVE-AVG MATCHUP,0.2108,61.4,🔥 TARGET: Home Run Play,16
690984,Petey Halpin,9,Cleveland Guardians,Tanner Gordon,R,L,0.093,0.308,2.52,ABOVE-AVG MATCHUP,0.2068,59.7,🔥 TARGET: Home Run Play,17
808959,Munetaka Murakami,2,Chicago White Sox,Sean Manaea,L,L,0.303,0.53,0.95,ABOVE-AVG MATCHUP,0.2066,59.6,🔥 TARGET: Home Run Play,18
668227,Randy Arozarena,2,Seattle Mariners,Matthew Boyd,L,R,0.177,0.449,1.77,ABOVE-AVG MATCHUP,0.2028,57.9,🔥 TARGET: Home Run Play,19
666160,Mickey Moniak,7,Colorado Rockies,Joey Cantillo,L,L,0.273,0.539,0.83,ABOVE-AVG MATCHUP,0.2007,57.0,🔥 TARGET: Home Run Play,20
642350,Jose Siri,5,Los Angeles Angels,MacKenzie Gore,L,R,0.206,0.461,1.35,ABOVE-AVG MATCHUP,0.2003,56.8,🔥 TARGET: Home Run Play,21
641680,Jonah Heim,7,Athletics,Hayden Wesneski,R,S,0.179,0.41,1.54,ABOVE-AVG MATCHUP,0.1988,56.2,🔥 TARGET: Home Run Play,22
571970,Max Muncy,4,Los Angeles Dodgers,Bubba Chandler,R,L,0.246,0.497,1.12,ABOVE-AVG MATCHUP,0.1987,56.1,🔥 TARGET: Home Run Play,23
694374,Tim Tawa,6,Arizona Diamondbacks,Nick Lodolo,L,R,0.15,0.385,1.82,ABOVE-AVG MATCHUP,0.1971,55.4,🔥 TARGET: Home Run Play,24
664034,Ty France,4,San Diego Padres,Connor Prielipp,L,R,0.22,0.511,1.27,ELEVATED POWER EDGE,0.1947,54.4,🔥 TARGET: Home Run Play,25
694249,Cole Carrigg,3,Colorado Rockies,Joey Cantillo,L,S,0.186,0.467,1.17,ABOVE-AVG MATCHUP,0.1935,53.8,🔥 TARGET: Home Run Play,26
545361,Mike Trout,2,Los Angeles Angels,MacKenzie Gore,L,R,0.195,0.434,1.35,ABOVE-AVG MATCHUP,0.1907,52.6,🔥 TARGET: Home Run Play,27
545121,Ildemaro Vargas,1,Arizona Diamondbacks,Nick Lodolo,L,S,0.143,0.407,1.82,ABOVE-AVG MATCHUP,0.1888,51.7,⚾ Standard Matchup,28
677594,Julio Rodríguez,4,Seattle Mariners,Matthew Boyd,L,R,0.163,0.416,1.77,ABOVE-AVG MATCHUP,0.1884,51.5,⚾ Standard Matchup,29
687263,Zach Neto,1,Los Angeles Angels,MacKenzie Gore,L,R,0.191,0.422,1.35,ABOVE-AVG MATCHUP,0.1872,51.0,⚾ Standard Matchup,30
695506,Jac Caglianone,3,Kansas City Royals,Troy Melton,R,L,0.216,0.495,1.33,ABOVE-AVG MATCHUP,0.1855,50.2,⚾ Standard Matchup,31
624424,Michael Conforto,8,Chicago Cubs,Emerson Hancock,R,L,0.216,0.438,1.26,ABOVE-AVG MATCHUP,0.1787,47.2,⚾ Standard Matchup,32
665019,Kody Clemens,5,Minnesota Twins,Randy Vásquez,R,L,0.229,0.465,1.21,ABOVE-AVG MATCHUP,0.178,46.9,⚾ Standard Matchup,33
679822,Justin Foscue,1,Texas Rangers,Reid Detmers,L,R,0.221,0.487,1.1,ABOVE-AVG MATCHUP,0.1775,46.6,⚾ Standard Matchup,34
672695,Geraldo Perdomo,4,Arizona Diamondbacks,Nick Lodolo,L,S,0.127,0.371,1.82,ABOVE-AVG MATCHUP,0.1696,43.1,⚾ Standard Matchup,35
680777,Ryan Jeffers,4,Minnesota Twins,Randy Vásquez,R,R,0.21,0.493,1.25,ABOVE-AVG MATCHUP,0.1695,43.1,⚾ Standard Matchup,36
666126,Carlos Cortes,4,Athletics,Hayden Wesneski,R,L,0.147,0.407,1.54,ABOVE-AVG MATCHUP,0.1664,41.7,⚾ Standard Matchup,37
596019,Francisco Lindor,2,New York Mets,Sean Burke,R,S,0.187,0.426,1.2,ABOVE-AVG MATCHUP,0.1651,41.1,⚾ Standard Matchup,38
694671,Wyatt Langford,3,Texas Rangers,Reid Detmers,L,R,0.203,0.454,1.1,ABOVE-AVG MATCHUP,0.1643,40.8,⚾ Standard Matchup,39
663728,Cal Raleigh,7,Seattle Mariners,Matthew Boyd,L,S,0.14,0.296,1.77,ABOVE-AVG MATCHUP,0.1641,40.7,⚾ Standard Matchup,40
592518,Manny Machado,3,San Diego Padres,Connor Prielipp,L,R,0.198,0.413,1.27,ABOVE-AVG MATCHUP,0.163,40.2,⚾ Standard Matchup,41
650489,Willi Castro,5,Colorado Rockies,Joey Cantillo,L,S,0.161,0.425,1.17,NEUTRAL TRAJECTORY,0.1625,40.0,⚾ Standard Matchup,42
691720,Kyle Karros,2,Colorado Rockies,Joey Cantillo,L,R,0.159,0.424,1.17,NEUTRAL TRAJECTORY,0.1606,39.2,⚾ Standard Matchup,43
664023,Ian Happ,5,Chicago Cubs,Emerson Hancock,R,S,0.191,0.405,1.26,ABOVE-AVG MATCHUP,0.1598,38.9,⚾ Standard Matchup,44
671732,Lawrence Butler,5,Athletics,Hayden Wesneski,R,L,0.14,0.358,1.54,ABOVE-AVG MATCHUP,0.1591,38.6,⚾ Standard Matchup,45
695600,Carter Jensen,1,Kansas City Royals,Troy Melton,R,L,0.18,0.401,1.33,ABOVE-AVG MATCHUP,0.1572,37.7,⚾ Standard Matchup,46
