player_id,player_name,order,team,opp_pitcher,matchup,weather,season_iso,l15_iso,blended_iso,hr_prob,score,target_call,rank
695491,Joshua Báez,5,St. Louis Cardinals,Cristopher Sánchez,R vs LHP,[NEUTRAL 75° 8MPH],0.375,0.375,0.375,35.6,71.1,🔥 HR TARGET: Strong Power Split,1
663662,Daz Cameron,7,Toronto Blue Jays,Carlos Rodón,R vs LHP,[NEUTRAL 76° 8MPH],0.307,0.231,0.265,26.6,53.3,⚾ Standard Power Spot,2
620443,Luis Torrens,9,New York Mets,Sean Newcomb,R vs LHP,[DOME / CONTROLLED],0.171,0.409,0.302,25.6,51.3,⚾ Standard Power Spot,3
656941,Kyle Schwarber,1,Philadelphia Phillies,Kyle Leahy,L vs RHP,[NEUTRAL 75° 8MPH],0.284,0.254,0.268,25.2,50.5,⚾ Standard Power Spot,4
691023,Jordan Walker,3,St. Louis Cardinals,Cristopher Sánchez,R vs LHP,[NEUTRAL 75° 8MPH],0.22,0.254,0.239,23.7,47.5,⚾ Standard Power Spot,5
808959,Munetaka Murakami,2,Chicago White Sox,Nolan McLean,L vs RHP,[DOME / CONTROLLED],0.296,0.278,0.286,23.4,46.8,⚾ Standard Power Spot,6
666176,Jo Adell,3,Cleveland Guardians,Tomoyuki Sugano,R vs RHP,[NEUTRAL 84° 7MPH],0.28,0.226,0.251,22.8,45.7,⚾ Standard Power Spot,7
673357,Luis Robert Jr.,4,New York Mets,Sean Newcomb,R vs LHP,[DOME / CONTROLLED],0.182,0.333,0.265,22.8,45.6,⚾ Standard Power Spot,8
694673,Abimelec Ortiz,2,Washington Nationals,Janson Junk,L vs RHP,[DOME / CONTROLLED],0.298,0.261,0.278,22.8,45.5,⚾ Standard Power Spot,9
624413,Pete Alonso,2,Baltimore Orioles,Nick Martinez,R vs RHP,[DOME / CONTROLLED],0.231,0.362,0.303,22.5,45.0,⚾ Standard Power Spot,10
663757,Trent Grisham,1,New York Yankees,José Soriano,L vs RHP,[NEUTRAL 76° 8MPH],0.195,0.259,0.23,22.4,44.8,⚾ Standard Power Spot,11
571970,Max Muncy,8,Los Angeles Dodgers,Lake Bachar,L vs RHP,[DOME / CONTROLLED],0.255,0.273,0.265,21.8,43.6,⚾ Standard Power Spot,12
668800,Andrew Knizner,7,San Francisco Giants,Jake Bennett,R vs LHP,[NEUTRAL 72°],0.272,0.273,0.272,21.5,43.0,⚾ Standard Power Spot,13
700250,Ben Rice,2,New York Yankees,José Soriano,L vs RHP,[NEUTRAL 76° 8MPH],0.278,0.164,0.215,21.1,42.2,⚾ Standard Power Spot,14
701162,Ben Malgeri,7,Detroit Tigers,Daniel Lynch IV,R vs LHP,[NEUTRAL 81° 5MPH],0.183,0.333,0.266,20.0,39.9,⚾ Standard Power Spot,15
608324,Alex Bregman,1,Chicago Cubs,Bryce Miller,R vs RHP,[NEUTRAL 72°],0.165,0.4,0.294,19.7,39.4,⚾ Standard Power Spot,16
678246,Miguel Vargas,3,Chicago White Sox,Nolan McLean,R vs RHP,[DOME / CONTROLLED],0.253,0.268,0.261,19.7,39.3,⚾ Standard Power Spot,17
701358,Cam Smith,8,Houston Astros,Brady Basso,R vs LHP,[DOME / CONTROLLED],0.173,0.267,0.225,19.6,39.1,⚾ Standard Power Spot,18
694212,Samuel Basallo,4,Baltimore Orioles,Nick Martinez,L vs RHP,[DOME / CONTROLLED],0.212,0.25,0.233,19.4,38.8,⚾ Standard Power Spot,19
687637,Dylan Beavers,6,Baltimore Orioles,Nick Martinez,L vs RHP,[DOME / CONTROLLED],0.143,0.3,0.229,19.1,38.3,⚾ Standard Power Spot,20
680664,Eduardo Valencia,4,Detroit Tigers,Daniel Lynch IV,R vs LHP,[NEUTRAL 81° 5MPH],0.394,0.136,0.252,19.1,38.1,⚾ Standard Power Spot,21
666160,Mickey Moniak,9,Colorado Rockies,Foster Griffin,L vs LHP,[NEUTRAL 84° 7MPH],0.276,0.176,0.221,19.0,37.9,⚾ Standard Power Spot,22
667452,Corey Julks,6,Detroit Tigers,Daniel Lynch IV,R vs LHP,[NEUTRAL 81° 5MPH],0.25,0.25,0.25,18.9,37.8,⚾ Standard Power Spot,23
665052,Griffin Conine,8,Miami Marlins,Jackson Kent,L vs LHP,[DOME / CONTROLLED],0.268,0.261,0.264,18.5,37.0,⚾ Standard Power Spot,24
664954,Brett Sullivan,2,Colorado Rockies,Foster Griffin,L vs LHP,[NEUTRAL 84° 7MPH],0.197,0.231,0.216,18.5,37.0,⚾ Standard Power Spot,25
553993,Eugenio Suárez,3,Cincinnati Reds,Mitch Bratt,R vs LHP,[DOME / CONTROLLED],0.203,0.2,0.201,17.7,35.4,⚾ Standard Power Spot,26
661531,Brian Serven,9,Athletics,Cristian Javier,R vs RHP,[DOME / CONTROLLED],0.231,0.231,0.231,17.6,35.1,⚾ Standard Power Spot,27
575929,Willson Contreras,4,Boston Red Sox,Matt Wilkinson,R vs LHP,[NEUTRAL 72°],0.253,0.176,0.211,17.0,34.0,⚾ Standard Power Spot,28
621566,Matt Olson,8,Atlanta Braves,Shane Drohan,L vs LHP,[DOME / CONTROLLED],0.277,0.211,0.24,17.0,34.0,⚾ Standard Power Spot,29
641343,Jake Bauers,9,Milwaukee Brewers,Tyler Mahle,L vs RHP,[DOME / CONTROLLED],0.233,0.176,0.202,17.0,34.0,⚾ Standard Power Spot,30
681715,Heriberto Hernández,3,Miami Marlins,Jackson Kent,R vs LHP,[DOME / CONTROLLED],0.225,0.164,0.191,16.9,33.7,⚾ Standard Power Spot,31
665487,Fernando Tatis Jr.,2,San Diego Padres,Bailey Ober,R vs RHP,[NEUTRAL 80° 2MPH],0.153,0.327,0.249,16.8,33.6,⚾ Standard Power Spot,32
547180,Bryce Harper,3,Philadelphia Phillies,Kyle Leahy,L vs RHP,[NEUTRAL 75° 8MPH],0.235,0.12,0.172,16.7,33.5,⚾ Standard Power Spot,33
672386,Alejandro Kirk,3,Toronto Blue Jays,Carlos Rodón,R vs LHP,[NEUTRAL 76° 8MPH],0.145,0.173,0.16,16.7,33.4,⚾ Standard Power Spot,34
681297,Colton Cowser,8,Baltimore Orioles,Nick Martinez,L vs RHP,[DOME / CONTROLLED],0.139,0.243,0.196,16.6,33.1,⚾ Standard Power Spot,35
677588,José Tena,5,Washington Nationals,Janson Junk,L vs RHP,[DOME / CONTROLLED],0.158,0.222,0.193,16.3,32.6,⚾ Standard Power Spot,36
687952,Christian Encarnacion-Strand,7,Baltimore Orioles,Nick Martinez,R vs RHP,[DOME / CONTROLLED],0.236,0.188,0.209,16.0,32.1,⚾ Standard Power Spot,37
