player_id,player_name,order,team,opp_pitcher,p_whip,blended_ops,lineup_mult,expected_hrr,score,target_call,rank
665923,Esteury Ruiz,5,Miami Marlins,Jackson Kent,2.48,0.713,1.2,2.37,94.9,🚂 TRAFFIC LOCK: Elite Setup & Position,1
608369,Corey Seager,3,Texas Rangers,Yusei Kikuchi,1.58,0.756,1.2,2.27,90.7,🚂 TRAFFIC LOCK: Elite Setup & Position,2
671732,Lawrence Butler,4,Athletics,Cristian Javier,1.68,0.711,1.2,2.27,90.7,🚂 TRAFFIC LOCK: Elite Setup & Position,3
669364,Xavier Edwards,4,Miami Marlins,Jackson Kent,2.48,0.667,1.2,2.22,88.8,🚂 TRAFFIC LOCK: Elite Setup & Position,4
681715,Heriberto Hernández,3,Miami Marlins,Jackson Kent,2.48,0.666,1.2,2.22,88.6,🚂 TRAFFIC LOCK: Elite Setup & Position,5
543510,James McCann,5,Arizona Diamondbacks,Andrew Abbott,1.4,0.824,1.2,2.19,87.5,🚂 TRAFFIC LOCK: Elite Setup & Position,6
680869,Zack Gelof,3,Athletics,Cristian Javier,1.68,0.687,1.2,2.19,87.5,🚂 TRAFFIC LOCK: Elite Setup & Position,7
672515,Gabriel Moreno,2,Arizona Diamondbacks,Andrew Abbott,1.4,0.836,1.15,2.13,85.1,🚂 TRAFFIC LOCK: Elite Setup & Position,8
624413,Pete Alonso,2,Baltimore Orioles,Nick Martinez,1.14,1.023,1.15,2.12,84.8,🚂 TRAFFIC LOCK: Elite Setup & Position,9
676551,Brewer Hicklen,2,Atlanta Braves,Shane Drohan,1.25,0.929,1.15,2.11,84.4,🚂 TRAFFIC LOCK: Elite Setup & Position,10
650490,Yandy Díaz,1,Tampa Bay Rays,Shane Baz,1.35,0.857,1.15,2.1,84.2,🚂 TRAFFIC LOCK: Elite Setup & Position,11
703607,Henry Bolte,1,Athletics,Cristian Javier,1.68,0.688,1.15,2.1,84.1,🚂 TRAFFIC LOCK: Elite Setup & Position,12
670541,Yordan Alvarez,2,Houston Astros,Brady Basso,1.35,0.84,1.15,2.06,82.4,🚂 TRAFFIC LOCK: Elite Setup & Position,13
672640,Otto Lopez,1,Miami Marlins,Jackson Kent,2.48,0.643,1.15,2.05,82.1,🚂 TRAFFIC LOCK: Elite Setup & Position,14
656941,Kyle Schwarber,1,Philadelphia Phillies,Kyle Leahy,1.31,0.854,1.15,2.03,81.3,🚂 TRAFFIC LOCK: Elite Setup & Position,15
605137,Josh Bell,5,Minnesota Twins,Walker Buehler,1.39,0.769,1.2,2.03,81.1,🚂 TRAFFIC LOCK: Elite Setup & Position,16
672386,Alejandro Kirk,3,Toronto Blue Jays,Carlos Rodón,1.23,0.869,1.2,2.03,81.1,🚂 TRAFFIC LOCK: Elite Setup & Position,17
695720,Tommy White,5,Athletics,Cristian Javier,1.68,0.635,1.2,2.02,81.0,🚂 TRAFFIC LOCK: Elite Setup & Position,18
691023,Jordan Walker,3,St. Louis Cardinals,Cristopher Sánchez,1.22,0.873,1.2,2.02,80.8,🚂 TRAFFIC LOCK: Elite Setup & Position,19
689414,Liam Hicks,4,Tampa Bay Rays,Shane Baz,1.35,0.788,1.2,2.02,80.7,🚂 TRAFFIC LOCK: Elite Setup & Position,20
547180,Bryce Harper,3,Philadelphia Phillies,Kyle Leahy,1.31,0.81,1.2,2.01,80.5,🚂 TRAFFIC LOCK: Elite Setup & Position,21
682998,Corbin Carroll,1,Arizona Diamondbacks,Andrew Abbott,1.4,0.777,1.15,1.98,79.1,🚂 TRAFFIC LOCK: Elite Setup & Position,22
665487,Fernando Tatis Jr.,2,San Diego Padres,Bailey Ober,1.25,0.87,1.15,1.98,79.0,🚂 TRAFFIC LOCK: Elite Setup & Position,23
666126,Carlos Cortes,2,Athletics,Cristian Javier,1.68,0.642,1.15,1.96,78.4,🚂 TRAFFIC LOCK: Elite Setup & Position,24
691594,Javier Sanoja,6,Miami Marlins,Jackson Kent,2.48,0.784,0.9,1.96,78.3,🚂 TRAFFIC LOCK: Elite Setup & Position,25
670623,Isaac Paredes,3,Houston Astros,Brady Basso,1.35,0.759,1.2,1.94,77.8,🚂 TRAFFIC LOCK: Elite Setup & Position,26
660688,Keibert Ruiz,4,Washington Nationals,Janson Junk,1.36,0.747,1.2,1.93,77.1,🚂 TRAFFIC LOCK: Elite Setup & Position,27
691406,Junior Caminero,3,Tampa Bay Rays,Shane Baz,1.35,0.75,1.2,1.92,76.9,🚂 TRAFFIC LOCK: Elite Setup & Position,28
676475,Alec Burleson,4,St. Louis Cardinals,Cristopher Sánchez,1.22,0.827,1.2,1.91,76.6,🚂 TRAFFIC LOCK: Elite Setup & Position,29
686797,Brooks Lee,3,Minnesota Twins,Walker Buehler,1.39,0.725,1.2,1.91,76.5,🚂 TRAFFIC LOCK: Elite Setup & Position,30
682663,Agustín Ramírez,2,Miami Marlins,Jackson Kent,2.48,0.596,1.15,1.9,76.1,🚂 TRAFFIC LOCK: Elite Setup & Position,31
553993,Eugenio Suárez,3,Cincinnati Reds,Mitch Bratt,1.47,0.678,1.2,1.89,75.7,🚂 TRAFFIC LOCK: Elite Setup & Position,32
656577,Alex Jackson,2,Minnesota Twins,Walker Buehler,1.39,0.745,1.15,1.88,75.3,🚂 TRAFFIC LOCK: Elite Setup & Position,33
666176,Jo Adell,3,Cleveland Guardians,Tomoyuki Sugano,1.26,0.781,1.2,1.87,74.7,🚦 PRODUCTION TARGET: High Ceiling,34
694673,Abimelec Ortiz,2,Washington Nationals,Janson Junk,1.36,0.754,1.15,1.86,74.6,🚦 PRODUCTION TARGET: High Ceiling,35
678246,Miguel Vargas,3,Chicago White Sox,Nolan McLean,1.16,0.848,1.2,1.87,74.6,🚦 PRODUCTION TARGET: High Ceiling,36
663757,Trent Grisham,1,New York Yankees,José Soriano,1.35,0.75,1.15,1.84,73.6,🚦 PRODUCTION TARGET: High Ceiling,37
641355,Cody Bellinger,4,New York Yankees,José Soriano,1.35,0.709,1.2,1.82,72.6,🚦 PRODUCTION TARGET: High Ceiling,38
