player_name,team,opp_pitcher,p_hand,b_hand,sp_hr9_split,iso,clash_badge,hr_prob,hr_score,hr_rk,current_drought_games,current_drought_pa,saturation,rho_shape,wb_prob,wb_score,wb_rk,exp_tb,prob_o15,tb_score,tb_rk,prob_1h,hit_score,hit_rk,avg_combo,prob_2plus,combo_score,combo_rk,consensus_score,best_prop_target,rank
Junior Caminero,Tampa Bay Rays,Brandon Young,R,R,1.55,0.26,ELEVATED POWER EDGE,0.2987,88.6,16,8,37,2.31,1.12,0.2683,88.8,2,2.48,0.7087,90.2,15,0.776,74.3,29,2.87,0.7799,94.0,99,92.6,👑 HR Prop (Apex),1
Eduardo Valencia,Detroit Tigers,Michael Wacha,R,R,1.77,0.394,ELEVATED POWER EDGE,0.4103,96.5,4,0,0,0.0,1.06,0.2385,81.3,9,3.6,0.8743,96.5,1,0.8092,82.2,14,3.31,0.8428,96.5,34,90.9,💎 Over 1.5 TB,2
Mickey Moniak,Colorado Rockies,Tanner Bibee,R,L,2.05,0.27,ELEVATED POWER EDGE,0.4331,96.5,2,2,5,0.3,1.12,0.2139,72.7,17,2.89,0.7832,96.3,7,0.7506,67.0,37,3.11,0.8168,96.1,62,86.5,💎 Over 1.5 TB,3
Bryce Eldridge,San Francisco Giants,Patrick Sandoval,L,L,3.0,0.188,ABOVE-AVG MATCHUP,0.3411,94.3,6,3,10,0.4,1.06,0.1545,44.8,44,3.6,0.8743,96.5,2,0.8892,93.4,1,3.54,0.8687,96.5,16,84.0,💎 Over 1.5 TB,4
Jordan Walker,St. Louis Cardinals,Andrew Painter,R,R,1.65,0.222,ELEVATED POWER EDGE,0.3069,90.0,10,2,8,0.4,1.12,0.1867,60.7,23,2.55,0.7232,91.9,12,0.8148,83.3,12,3.07,0.8117,95.9,71,83.6,💎 Over 1.5 TB,5
Jake McCarthy,Colorado Rockies,Tanner Bibee,R,L,2.05,0.193,ABOVE-AVG MATCHUP,0.3096,90.4,9,26,73,2.13,1.06,0.1247,30.9,123,2.48,0.7083,90.2,16,0.7848,76.6,26,3.19,0.8281,96.5,53,80.3,👑 HR Prop (Apex),6
Andrés Chaparro,Washington Nationals,Eury Pérez,R,R,1.57,0.276,ELEVATED POWER EDGE,0.3172,91.5,8,25,56,3.11,1.06,0.2282,78.0,11,2.15,0.6319,75.9,26,0.619,25.0,161,3.13,0.8196,96.2,58,79.5,👑 HR Prop (Apex),7
Kenny Piper,Tampa Bay Rays,Brandon Young,R,R,1.55,0.428,ELEVATED POWER EDGE,0.4424,96.5,1,1,5,0.16,1.02,0.1208,29.2,166,3.3,0.8419,96.5,4,0.8087,82.1,16,3.26,0.8369,96.5,42,79.4,💎 Over 1.5 TB,8
Daz Cameron,Toronto Blue Jays,Ryan Weathers,L,R,1.35,0.363,ELEVATED POWER EDGE,0.3923,96.5,5,2,6,0.19,1.02,0.1211,29.4,161,3.03,0.8051,96.5,5,0.809,82.1,15,3.42,0.8553,96.5,23,79.4,💎 Over 1.5 TB,9
Heriberto Hernández,Miami Marlins,Jake Irvin,R,R,1.8,0.217,ABOVE-AVG MATCHUP,0.2695,82.1,26,26,86,4.37,1.12,0.2388,81.4,8,1.98,0.5886,63.2,44,0.6925,47.4,98,3.16,0.8235,96.4,57,78.4,👑 HR Prop (Apex),10
Brett Sullivan,Colorado Rockies,Tanner Bibee,R,L,2.05,0.202,ABOVE-AVG MATCHUP,0.3214,92.1,7,26,82,3.12,1.06,0.1623,48.7,39,2.25,0.6571,81.7,22,0.6965,48.8,91,3.49,0.8634,96.5,19,78.3,👑 HR Prop (Apex),11
Jeremy Peña,Houston Astros,Jacob Lopez,L,R,1.85,0.186,ABOVE-AVG MATCHUP,0.2417,73.5,35,17,76,3.13,1.06,0.1745,54.7,29,2.15,0.6342,76.5,24,0.7884,77.5,24,2.71,0.7531,92.0,120,77.3,👑 HR Prop (Apex),12
Griffin Conine,Miami Marlins,Jake Irvin,R,L,1.39,0.273,ELEVATED POWER EDGE,0.284,85.6,22,4,7,0.49,1.06,0.2543,85.6,5,2.15,0.6322,76.0,25,0.6585,35.9,129,3.78,0.8909,96.5,9,76.8,🔥 1.5+ H+R+RBI,13
Matt Olson,Atlanta Braves,Logan Henderson,R,L,1.48,0.278,ELEVATED POWER EDGE,0.3039,89.5,13,6,24,1.54,1.12,0.2637,87.8,3,1.99,0.5901,63.7,43,0.5782,25.0,197,2.25,0.6586,78.6,181,76.1,👑 HR Prop (Apex),14
Alec Burleson,St. Louis Cardinals,Andrew Painter,R,L,1.89,0.2,ABOVE-AVG MATCHUP,0.292,87.3,18,0,0,0.0,1.12,0.1165,27.5,195,2.46,0.7038,89.6,17,0.8392,87.5,8,3.8,0.8926,96.5,1,75.8,💎 Over 1.5 TB,15
Jung Hoo Lee,San Francisco Giants,Patrick Sandoval,L,L,3.0,0.139,ABOVE-AVG MATCHUP,0.2654,81.0,29,13,49,0.93,1.06,0.0787,25.0,220,3.44,0.8576,96.5,3,0.8892,93.4,4,2.91,0.7867,94.5,94,75.7,💎 Over 1.5 TB,16
