player_name,team,opp_pitcher,hr_prob,hr_score,hr_rk,drought_games,wb_prob,wb_score,wb_rk,exp_tb,tb_score,tb_rk,prob_1h,hit_score,hit_rk,avg_combo,combo_score,combo_rk,consensus_score,best_prop_target,rank
Matt Olson,Atlanta Braves,Shane Drohan,17.0,34.0,2,6,19.6,39.2,2,2.04,99.0,1,51.8,51.8,11,1.81,72.3,1,56.9,💎 Over 1.5 TB,1
Jake Bauers,Milwaukee Brewers,Tyler Mahle,17.0,34.0,1,0,8.0,16.0,12,1.89,94.5,2,59.3,59.3,4,1.55,62.1,4,50.8,💎 Over 1.5 TB,2
Michael Harris II,Atlanta Braves,Shane Drohan,6.5,13.1,15,20,20.3,40.5,1,1.75,87.5,4,61.7,61.7,2,1.66,66.2,2,49.6,⚾ High-Floor Value,3
Jackson Chourio,Milwaukee Brewers,Tyler Mahle,11.2,22.4,6,12,15.0,30.1,4,1.84,91.9,3,59.3,59.3,5,1.34,53.6,8,49.0,💎 Over 1.5 TB,4
Lane Thomas,Atlanta Braves,Shane Drohan,14.5,29.1,3,5,13.5,27.1,5,1.46,72.8,9,45.8,45.8,17,1.13,45.2,11,42.9,⚾ High-Floor Value,5
Ronald Acuña Jr.,Atlanta Braves,Shane Drohan,12.1,24.2,4,7,11.2,22.3,9,1.51,75.4,7,48.0,48.0,16,1.43,57.1,5,42.8,⚾ High-Floor Value,6
Andrew Vaughn,Milwaukee Brewers,Tyler Mahle,5.1,10.1,16,15,12.2,24.3,7,1.55,77.5,6,63.8,63.8,1,1.43,57.0,6,42.3,⚾ High-Floor Value,7
Drake Baldwin,Atlanta Braves,Shane Drohan,7.9,15.7,12,4,8.4,16.8,11,1.48,74.1,8,56.2,56.2,8,1.65,66.1,3,41.3,⚾ High-Floor Value,8
William Contreras,Milwaukee Brewers,Tyler Mahle,9.2,18.3,10,5,5.6,11.3,13,1.57,78.5,5,55.2,55.2,9,1.24,49.5,9,39.7,⚾ High-Floor Value,9
Brice Turang,Milwaukee Brewers,Tyler Mahle,6.7,13.5,14,17,16.0,31.9,3,1.41,70.4,10,51.2,51.2,12,1.1,43.9,12,39.7,⚾ High-Floor Value,10
Ozzie Albies,Atlanta Braves,Shane Drohan,7.9,15.8,11,10,11.8,23.7,8,1.32,66.1,14,49.7,49.7,13,1.42,56.6,7,38.9,⚾ High-Floor Value,11
Mauricio Dubón,Atlanta Braves,Shane Drohan,4.6,10.0,18,33,13.2,26.3,6,1.24,62.2,15,61.1,61.1,3,1.23,49.1,10,37.9,⚾ High-Floor Value,12
Joey Ortiz,Milwaukee Brewers,Tyler Mahle,10.5,21.0,8,3,4.8,10.0,16,1.38,69.1,11,58.6,58.6,6,1.0,40.2,13,37.5,⚾ High-Floor Value,13
Garrett Mitchell,Milwaukee Brewers,Tyler Mahle,9.5,19.0,9,1,3.9,10.0,17,1.35,67.4,12,58.5,58.5,7,0.85,33.9,15,35.8,⚾ High-Floor Value,14
Austin Riley,Atlanta Braves,Shane Drohan,11.6,23.1,5,9,9.1,18.2,10,1.18,58.9,16,49.0,49.0,14,0.9,36.1,14,35.6,⚾ High-Floor Value,15
Christian Yelich,Milwaukee Brewers,Tyler Mahle,11.0,21.9,7,3,5.4,10.8,14,1.32,66.2,13,48.5,48.5,15,0.84,33.7,16,34.9,⚾ High-Floor Value,16
David Hamilton,Milwaukee Brewers,Tyler Mahle,7.0,14.1,13,1,3.0,10.0,18,1.14,56.9,17,54.9,54.9,10,0.74,29.4,17,31.0,⚾ High-Floor Value,17
Sean Murphy,Atlanta Braves,Shane Drohan,3.0,10.0,17,11,4.3,10.0,15,0.5,25.0,18,35.1,35.1,18,0.5,20.0,18,18.5,⚾ High-Floor Value,18
