pitcher_id,pitcher_name,team,opp_team,blended_k9,expected_ip,lineup_k_pct,k_multiplier,expected_ks,score,target_call,rank
681035,Christian Scott,New York Mets,Chicago White Sox,11.16,5.2,22.5,1.0,6.45,86.0,🔥 K LOCK: Elite Stuff & Matchup,1
623454,Drew Anderson,Detroit Tigers,Kansas City Royals,10.26,5.2,22.5,1.0,5.93,79.0,🎯 K LADDER: Strong Target,2
683003,Jared Jones,Pittsburgh Pirates,Los Angeles Dodgers,10.13,5.2,22.5,1.0,5.85,78.0,🎯 K LADDER: Strong Target,3
669373,Tarik Skubal,Los Angeles Dodgers,Pittsburgh Pirates,10.06,5.2,22.5,1.0,5.81,77.5,🎯 K LADDER: Strong Target,4
687273,Quinn Mathews,St. Louis Cardinals,Philadelphia Phillies,10.0,5.2,22.5,1.0,5.78,77.0,🎯 K LADDER: Strong Target,5
686613,Hunter Brown,Houston Astros,Athletics,9.44,5.2,22.5,1.0,5.45,72.7,🎯 K LADDER: Strong Target,6
663776,Patrick Sandoval,Boston Red Sox,San Francisco Giants,9.26,5.2,22.5,1.0,5.35,71.3,🎯 K LADDER: Strong Target,7
622491,Luis Castillo,Chicago White Sox,New York Mets,9.19,5.2,22.5,1.0,5.31,70.8,🎯 K LADDER: Strong Target,8
647336,Michael Soroka,Arizona Diamondbacks,Cincinnati Reds,8.61,5.2,22.5,1.0,4.97,66.3,⚾ Standard K Volume,9
807739,Kade Anderson,Seattle Mariners,Chicago Cubs,8.5,5.2,22.5,1.0,4.91,65.5,⚾ Standard K Volume,10
656849,David Peterson,Chicago Cubs,Seattle Mariners,8.34,5.2,22.5,1.0,4.82,64.2,⚾ Standard K Volume,11
682052,Jacob Lopez,Athletics,Houston Astros,8.28,5.2,22.5,1.0,4.78,63.8,⚾ Standard K Volume,12
663556,Shane McClanahan,Tampa Bay Rays,Baltimore Orioles,8.27,5.2,22.5,1.0,4.78,63.7,⚾ Standard K Volume,13
687312,Gabriel Hughes,Colorado Rockies,Cleveland Guardians,7.88,5.2,22.5,1.0,4.55,60.7,⚾ Standard K Volume,14
665152,Dean Kremer,Minnesota Twins,San Diego Padres,7.79,5.2,22.5,1.0,4.5,60.0,⚾ Standard K Volume,15
691725,Andrew Painter,Philadelphia Phillies,St. Louis Cardinals,7.49,5.2,22.5,1.0,4.33,57.7,⚾ Standard K Volume,16
687064,Brandon Young,Baltimore Orioles,Tampa Bay Rays,7.34,5.2,22.5,1.0,4.24,56.5,⚾ Standard K Volume,17
695076,Rhett Lowder,Cincinnati Reds,Arizona Diamondbacks,7.31,5.2,22.5,1.0,4.22,56.3,⚾ Standard K Volume,18
696270,Ryan Johnson,Los Angeles Angels,Texas Rangers,7.01,5.2,22.5,1.0,4.05,54.0,⚾ Standard K Volume,19
676440,Tanner Bibee,Cleveland Guardians,Colorado Rockies,7.0,5.2,22.5,1.0,4.04,53.9,⚾ Standard K Volume,20
608379,Michael Wacha,Kansas City Royals,Detroit Tigers,6.94,5.2,22.5,1.0,4.01,53.5,⚾ Standard K Volume,21
694918,Blade Tidwell,San Francisco Giants,Boston Red Sox,6.67,5.2,22.5,1.0,3.85,51.4,⚾ Standard K Volume,22
674003,Cody Bradford,Texas Rangers,Los Angeles Angels,5.87,5.2,22.5,1.0,3.39,45.2,⚾ Standard K Volume,23
663554,Casey Mize,San Diego Padres,Minnesota Twins,5.87,5.2,22.5,1.0,3.39,45.2,⚾ Standard K Volume,24
