player_id,player_name,order,team,opp_pitcher,p_hand,b_hand,iso,slg,sp_hr9_split,clash_badge,prob,score,target_call,rank,current_drought_games,current_drought_pa,saturation,rho_shape,wb_prob,wb_score,wb_rank,synergy_score,synergy_call
621439,Byron Buxton,2,Minnesota Twins,Randy Vásquez,R,R,0.268,0.524,1.25,ELEVATED POWER EDGE,0.2286,68.7,🔥 TARGET: Home Run Play,1,14,62,4.0,1.12,0.2907,92.5,1,86.5,👑 DUAL APEX: Optimum Confluence
804668,Rafael Flores Jr.,6,Pittsburgh Pirates,Yoshinobu Yamamoto,R,R,0.416,0.729,1.06,ABOVE-AVG MATCHUP,0.2985,88.5,👑 APEX: Home Run Lock,2,1,1,0.07,1.06,0.2458,83.4,2,86.1,⚡ PURE MATCHUP EDGE
663993,Nathaniel Lowe,5,Cleveland Guardians,Tanner Gordon,R,L,0.219,0.463,2.52,ABOVE-AVG MATCHUP,0.4205,96.5,👑 APEX: Home Run Lock,3,14,34,1.48,1.06,0.1772,56.1,25,83.3,👑 DUAL APEX: Optimum Confluence
691718,Pete Crow-Armstrong,1,Chicago Cubs,Emerson Hancock,R,L,0.271,0.55,1.26,ELEVATED POWER EDGE,0.2371,71.9,🔥 TARGET: Home Run Play,4,10,41,2.23,1.12,0.2368,80.8,4,82.3,👑 DUAL APEX: Optimum Confluence
571448,Nolan Arenado,5,Arizona Diamondbacks,Nick Lodolo,L,R,0.2,0.443,1.82,ABOVE-AVG MATCHUP,0.2537,77.5,👑 APEX: Home Run Lock,5,14,52,2.25,1.12,0.1937,64.0,15,76.7,👑 DUAL APEX: Optimum Confluence
670541,Yordan Alvarez,2,Houston Astros,J.T. Ginn,R,L,0.294,0.613,1.14,ABOVE-AVG MATCHUP,0.2362,71.5,🔥 TARGET: Home Run Play,6,1,4,0.26,1.12,0.2292,78.3,6,74.8,⚡ PURE MATCHUP EDGE
678246,Miguel Vargas,3,Chicago White Sox,Sean Manaea,L,R,0.247,0.487,1.49,ELEVATED POWER EDGE,0.2768,83.9,👑 APEX: Home Run Lock,7,3,11,0.56,1.12,0.195,64.6,14,74.6,⚡ PURE MATCHUP EDGE
680664,Eduardo Valencia,5,Detroit Tigers,Noah Cameron,L,R,0.407,0.763,0.87,ABOVE-AVG MATCHUP,0.2234,66.6,🔥 TARGET: Home Run Play,8,0,0,0.0,1.06,0.2385,81.3,3,73.7,⚡ PURE MATCHUP EDGE
666176,Jo Adell,4,Cleveland Guardians,Tanner Gordon,R,R,0.271,0.479,1.13,ABOVE-AVG MATCHUP,0.2612,79.8,👑 APEX: Home Run Lock,9,10,40,1.49,1.12,0.1615,48.3,33,69.9,👑 DUAL APEX: Optimum Confluence
660271,Shohei Ohtani,1,Los Angeles Dodgers,Bubba Chandler,R,L,0.263,0.554,1.12,ABOVE-AVG MATCHUP,0.2108,61.4,🔥 TARGET: Home Run Play,10,6,26,1.44,1.12,0.2314,79.1,5,69.9,🔥 SYNERGY: High Matchup & Saturation
808959,Munetaka Murakami,2,Chicago White Sox,Sean Manaea,L,L,0.303,0.53,0.95,ABOVE-AVG MATCHUP,0.2066,59.6,🔥 TARGET: Home Run Play,11,0,0,0.0,1.12,0.2195,74.8,8,66.9,⚾ Baseline Confluence
666160,Mickey Moniak,7,Colorado Rockies,Joey Cantillo,L,L,0.273,0.539,0.83,ABOVE-AVG MATCHUP,0.2007,57.0,🔥 TARGET: Home Run Play,12,2,5,0.3,1.12,0.2164,73.7,10,65.0,⚾ Baseline Confluence
571970,Max Muncy,4,Los Angeles Dodgers,Bubba Chandler,R,L,0.246,0.497,1.12,ABOVE-AVG MATCHUP,0.1987,56.1,🔥 TARGET: Home Run Play,13,4,11,0.62,1.12,0.2182,74.3,9,64.8,⚾ Baseline Confluence
