player_id,player_name,order,team,opp_pitcher,matchup,weather,blended_iso,drought_games,core_hr_prob,hazard_mult,synergy_prob,synergy_score,target_call,rank
804668,Rafael Flores Jr.,5,Pittsburgh Pirates,Blake Snell (LHP),R vs L,[DOME / CONTROLLED],0.348,2,29.1,1.44,41.9,83.7,🔥 POWER TARGET: Matchup Driven,1
621566,Matt Olson,8,Atlanta Braves,Shane Drohan (LHP),L vs L,[DOME / CONTROLLED],0.24,6,17.0,1.6,27.2,54.3,⚾ Standard Rotation,2
553993,Eugenio Suárez,5,Cincinnati Reds,Mitch Bratt (LHP),R vs L,[DOME / CONTROLLED],0.201,10,17.7,1.31,23.2,46.3,⚡ DUE DATE WATCH: Hazard Surge,3
660271,Shohei Ohtani,1,Los Angeles Dodgers,Lake Bachar (RHP),L vs R,[DOME / CONTROLLED],0.229,3,19.1,1.09,20.8,41.7,⚾ Standard Rotation,4
699013,Esmerlyn Valdez,2,Pittsburgh Pirates,Blake Snell (LHP),R vs L,[DOME / CONTROLLED],0.129,23,11.6,1.6,18.6,37.2,⚾ Standard Rotation,5
657041,Lane Thomas,7,Atlanta Braves,Shane Drohan (LHP),R vs L,[DOME / CONTROLLED],0.163,6,14.5,1.22,17.8,35.6,⚾ Standard Rotation,6
682998,Corbin Carroll,2,Arizona Diamondbacks,Andrew Abbott (LHP),L vs L,[DOME / CONTROLLED],0.166,8,12.0,1.47,17.6,35.2,⚾ Standard Rotation,7
666176,Jo Adell,3,Cleveland Guardians,Tomoyuki Sugano (RHP),R vs R,[NEUTRAL 93° 7MPH],0.251,0,23.2,0.75,17.4,34.8,⚾ Standard Rotation,8
571448,Nolan Arenado,5,Arizona Diamondbacks,Andrew Abbott (LHP),R vs L,[DOME / CONTROLLED],0.265,0,22.8,0.75,17.1,34.2,⚾ Standard Rotation,9
663993,Nathaniel Lowe,4,Cleveland Guardians,Tomoyuki Sugano (RHP),L vs R,[NEUTRAL 93° 7MPH],0.154,6,16.1,1.05,16.9,33.8,⚾ Standard Rotation,10
596142,Gary Sánchez,7,Milwaukee Brewers,Tyler Mahle (RHP),R vs R,[DOME / CONTROLLED],0.178,6,13.8,1.19,16.4,32.8,⚾ Standard Rotation,11
571970,Max Muncy,4,Los Angeles Dodgers,Lake Bachar (RHP),L vs R,[DOME / CONTROLLED],0.265,1,21.8,0.75,16.4,32.7,⚾ Standard Rotation,12
664983,Jake McCarthy,1,Colorado Rockies,Foster Griffin (LHP),L vs L,[NEUTRAL 93° 7MPH],0.14,12,12.5,1.3,16.3,32.6,⚾ Standard Rotation,13
668800,Andrew Knizner,7,San Francisco Giants,Jake Bennett (LHP),R vs L,[NEUTRAL 67° 2MPH],0.272,0,21.3,0.75,16.0,32.0,⚾ Standard Rotation,14
664954,Brett Sullivan,7,Colorado Rockies,Foster Griffin (LHP),L vs L,[NEUTRAL 93° 7MPH],0.216,4,18.8,0.83,15.6,31.2,⚾ Standard Rotation,15
691718,Pete Crow-Armstrong,1,Chicago Cubs,Bryce Miller (RHP),L vs R,[NEUTRAL 72°],0.278,1,20.5,0.75,15.4,30.8,⚾ Standard Rotation,16
608324,Alex Bregman,4,Chicago Cubs,Bryce Miller (RHP),R vs R,[NEUTRAL 72°],0.294,0,19.7,0.75,14.8,29.6,⚾ Standard Rotation,17
666160,Mickey Moniak,4,Colorado Rockies,Foster Griffin (LHP),L vs L,[NEUTRAL 93° 7MPH],0.221,0,19.2,0.75,14.4,28.9,⚾ Standard Rotation,18
665019,Kody Clemens,4,Minnesota Twins,Walker Buehler (RHP),L vs R,[NEUTRAL 87° 7MPH],0.161,5,12.4,1.15,14.3,28.6,⚾ Standard Rotation,19
694192,Jackson Chourio,8,Milwaukee Brewers,Tyler Mahle (RHP),R vs R,[DOME / CONTROLLED],0.143,12,11.2,1.25,14.0,28.0,⚾ Standard Rotation,20
621439,Byron Buxton,2,Minnesota Twins,Walker Buehler (RHP),R vs R,[NEUTRAL 87° 7MPH],0.118,22,8.4,1.6,13.5,26.9,⚾ Standard Rotation,21
682657,Angel Martínez,7,Cleveland Guardians,Tomoyuki Sugano (RHP),S vs R,[NEUTRAL 93° 7MPH],0.116,11,11.2,1.19,13.3,26.6,⚾ Standard Rotation,22
668227,Randy Arozarena,1,Seattle Mariners,Shota Imanaga (LHP),R vs L,[NEUTRAL 72°],0.222,0,17.4,0.75,13.1,26.2,⚾ Standard Rotation,23
665487,Fernando Tatis Jr.,1,San Diego Padres,Bailey Ober (RHP),R vs R,[NEUTRAL 87° 7MPH],0.249,3,17.0,0.75,12.7,25.5,⚾ Standard Rotation,24
641343,Jake Bauers,9,Milwaukee Brewers,Tyler Mahle (RHP),L vs R,[DOME / CONTROLLED],0.202,0,17.0,0.75,12.7,25.5,⚾ Standard Rotation,25
575929,Willson Contreras,4,Boston Red Sox,Matt Wilkinson (LHP),R vs L,[NEUTRAL 67° 2MPH],0.211,1,16.9,0.75,12.6,25.3,⚾ Standard Rotation,26
686527,Dominic Canzone,2,Seattle Mariners,Shota Imanaga (LHP),L vs L,[NEUTRAL 72°],0.129,9,8.5,1.47,12.5,25.1,⚾ Standard Rotation,27
663886,Tyler Stephenson,4,Cincinnati Reds,Mitch Bratt (LHP),R vs L,[DOME / CONTROLLED],0.178,6,15.8,0.78,12.4,24.8,⚾ Standard Rotation,28
694249,Cole Carrigg,2,Colorado Rockies,Foster Griffin (LHP),S vs L,[NEUTRAL 93° 7MPH],0.083,22,7.6,1.6,12.1,24.3,⚾ Standard Rotation,29
680574,Matt McLain,6,Cincinnati Reds,Mitch Bratt (LHP),R vs L,[DOME / CONTROLLED],0.173,0,15.3,0.75,11.5,23.0,⚾ Standard Rotation,30
664040,Brandon Lowe,4,Pittsburgh Pirates,Blake Snell (LHP),L vs L,[DOME / CONTROLLED],0.214,1,15.2,0.75,11.4,22.9,⚾ Standard Rotation,31
682674,Victor Bericoto,5,San Francisco Giants,Jake Bennett (LHP),R vs L,[NEUTRAL 67° 2MPH],0.112,13,9.3,1.23,11.4,22.8,⚾ Standard Rotation,32
