player_id,player_name,order,team,opp_pitcher,p_hand,b_hand,slg,iso,opp_slg_split,xbh_badge,exp_tb,prob_o15,prob_o25,score,target_call,rank
680664,Eduardo Valencia,6,Detroit Tigers,Michael Wacha,R,R,0.738,0.394,0.504,POWER [XBH SURGE],3.6,0.8743,0.6973,96.5,👑 LOCK: Over 1.5 TB (Anchor),1
805811,Bryce Eldridge,2,San Francisco Giants,Patrick Sandoval,L,L,0.436,0.188,0.771,GAP [2B/3B EDGE],3.6,0.8743,0.6973,96.5,👑 LOCK: Over 1.5 TB (Anchor),2
808982,Jung Hoo Lee,8,San Francisco Giants,Patrick Sandoval,L,L,0.43,0.139,0.771,BALANCED SLUGGER,3.44,0.8576,0.6678,96.5,👑 LOCK: Over 1.5 TB (Anchor),3
700652,Kenny Piper,7,Tampa Bay Rays,Brandon Young,R,R,0.714,0.428,0.461,POWER [XBH SURGE],3.3,0.8419,0.6414,96.5,👑 LOCK: Over 1.5 TB (Anchor),4
663662,Daz Cameron,7,Toronto Blue Jays,Ryan Weathers,L,R,0.727,0.363,0.396,POWER [XBH SURGE],3.04,0.8068,0.5858,96.5,👑 LOCK: Over 1.5 TB (Anchor),5
687551,Drew Gilbert,6,San Francisco Giants,Patrick Sandoval,L,L,0.378,0.137,0.771,BALANCED SLUGGER,3.02,0.8043,0.582,96.5,👑 LOCK: Over 1.5 TB (Anchor),6
666160,Mickey Moniak,9,Colorado Rockies,Tanner Bibee,R,L,0.534,0.27,0.444,POWER [XBH SURGE],2.93,0.7901,0.5609,96.5,👑 LOCK: Over 1.5 TB (Anchor),7
667452,Corey Julks,4,Detroit Tigers,Michael Wacha,R,R,0.5,0.25,0.504,POWER [XBH SURGE],2.74,0.7586,0.5162,94.9,👑 LOCK: Over 1.5 TB (Anchor),8
814430,Brett Callahan,2,Detroit Tigers,Michael Wacha,R,L,0.692,0.384,0.354,POWER [XBH SURGE],2.66,0.7447,0.4975,93.9,👑 LOCK: Over 1.5 TB (Anchor),9
693307,Dillon Dingler,5,Detroit Tigers,Michael Wacha,R,R,0.485,0.233,0.504,POWER [XBH SURGE],2.66,0.7436,0.496,93.8,👑 LOCK: Over 1.5 TB (Anchor),10
663993,Nathaniel Lowe,9,Cleveland Guardians,Gabriel Hughes,R,L,0.489,0.222,0.429,POWER [XBH SURGE],2.59,0.7311,0.4796,92.7,👑 LOCK: Over 1.5 TB (Anchor),11
691023,Jordan Walker,8,St. Louis Cardinals,Andrew Painter,R,R,0.513,0.222,0.468,POWER [XBH SURGE],2.56,0.7253,0.4721,92.1,👑 LOCK: Over 1.5 TB (Anchor),12
687605,Andrew Pinckney,3,Washington Nationals,Eury Pérez,R,R,0.615,0.384,0.411,POWER [XBH SURGE],2.54,0.7203,0.4657,91.6,👑 LOCK: Over 1.5 TB (Anchor),13
664983,Jake McCarthy,6,Colorado Rockies,Tanner Bibee,R,L,0.485,0.193,0.444,GAP [2B/3B EDGE],2.52,0.7159,0.4602,91.1,👑 LOCK: Over 1.5 TB (Anchor),14
650559,Bryan De La Cruz,3,Philadelphia Phillies,TBD Pitcher,R,R,0.581,0.226,0.405,POWER [XBH SURGE],2.51,0.715,0.4591,91.0,👑 LOCK: Over 1.5 TB (Anchor),15
691406,Junior Caminero,6,Tampa Bay Rays,Brandon Young,R,R,0.536,0.26,0.461,POWER [XBH SURGE],2.48,0.7087,0.4512,90.2,👑 LOCK: Over 1.5 TB (Anchor),16
676475,Alec Burleson,1,St. Louis Cardinals,Andrew Painter,R,L,0.489,0.2,0.5,GAP [2B/3B EDGE],2.47,0.7059,0.4477,89.9,👑 LOCK: Over 1.5 TB (Anchor),17
694249,Cole Carrigg,3,Colorado Rockies,Tanner Bibee,R,S,0.47,0.188,0.444,GAP [2B/3B EDGE],2.44,0.6998,0.4402,89.1,👑 LOCK: Over 1.5 TB (Anchor),18
666176,Jo Adell,7,Cleveland Guardians,Gabriel Hughes,R,R,0.472,0.246,0.4,POWER [XBH SURGE],2.33,0.6767,0.4127,85.5,👑 LOCK: Over 1.5 TB (Anchor),19
571970,Max Muncy,8,Los Angeles Dodgers,Jared Jones,R,L,0.504,0.252,0.455,POWER [XBH SURGE],2.3,0.6696,0.4045,84.2,👑 LOCK: Over 1.5 TB (Anchor),20
664954,Brett Sullivan,2,Colorado Rockies,Tanner Bibee,R,L,0.44,0.202,0.444,GAP [2B/3B EDGE],2.28,0.6651,0.3993,83.4,👑 LOCK: Over 1.5 TB (Anchor),21
682998,Corbin Carroll,1,Arizona Diamondbacks,Rhett Lowder,R,L,0.486,0.238,0.465,POWER [XBH SURGE],2.27,0.6618,0.3956,82.7,👑 LOCK: Over 1.5 TB (Anchor),22
701162,Ben Malgeri,1,Detroit Tigers,Michael Wacha,R,R,0.433,0.183,0.504,GAP [2B/3B EDGE],2.24,0.6559,0.389,81.5,👑 LOCK: Over 1.5 TB (Anchor),23
665161,Jeremy Peña,6,Houston Astros,Jacob Lopez,L,R,0.469,0.186,0.484,GAP [2B/3B EDGE],2.15,0.6342,0.365,76.5,🔥 TARGET: Over 1.5 TB,24
665052,Griffin Conine,2,Miami Marlins,Jake Irvin,R,L,0.54,0.273,0.396,POWER [XBH SURGE],2.15,0.6322,0.3629,76.0,🔥 TARGET: Over 1.5 TB,25
665953,Andrés Chaparro,2,Washington Nationals,Eury Pérez,R,R,0.52,0.276,0.411,POWER [XBH SURGE],2.15,0.6319,0.3626,75.9,🔥 TARGET: Over 1.5 TB,26
682657,Angel Martínez,2,Cleveland Guardians,Gabriel Hughes,R,S,0.425,0.184,0.429,GAP [2B/3B EDGE],2.13,0.6281,0.3585,74.9,🔥 TARGET: Over 1.5 TB,27
