player_id,player_name,order,team,opp_pitcher,true_ab,blended_slg,bb_pct,p_slg_allowed,expected_tb,score,target_call,rank
814430,Brett Callahan,2,Detroit Tigers,Drew Rasmussen,4.27,0.544,5.1,0.405,2.3,99.0,💎 TB LOCK: Elite SLG & AB Volume,1
680664,Eduardo Valencia,6,Detroit Tigers,Drew Rasmussen,3.89,0.595,5.1,0.405,2.29,99.0,💎 TB LOCK: Elite SLG & AB Volume,2
700652,Kenny Piper,7,Tampa Bay Rays,Framber Valdez,3.42,0.625,5.1,0.405,2.11,99.0,💎 TB LOCK: Elite SLG & AB Volume,3
665052,Griffin Conine,5,Miami Marlins,Ranger Suarez,3.89,0.534,5.1,0.405,2.05,99.0,💎 TB LOCK: Elite SLG & AB Volume,4
665953,Andrés Chaparro,2,Washington Nationals,Ryan Feltner,4.27,0.479,5.1,0.405,2.02,99.0,💎 TB LOCK: Elite SLG & AB Volume,5
687605,Andrew Pinckney,3,Washington Nationals,Ryan Feltner,4.27,0.513,5.1,0.405,2.16,99.0,💎 TB LOCK: Elite SLG & AB Volume,6
608324,Alex Bregman,1,Chicago Cubs,Merrill Kelly,4.27,0.523,5.1,0.405,2.21,99.0,💎 TB LOCK: Elite SLG & AB Volume,7
650559,Bryan De La Cruz,3,Philadelphia Phillies,Logan Gilbert,4.27,0.493,5.1,0.405,2.08,99.0,💎 TB LOCK: Elite SLG & AB Volume,8
665487,Fernando Tatis Jr.,2,San Diego Padres,Braxton Ashcraft,4.27,0.593,5.1,0.405,2.5,99.0,💎 TB LOCK: Elite SLG & AB Volume,9
661531,Brian Serven,2,Athletics,Zebby Matthews,4.27,0.512,5.1,0.405,2.16,99.0,💎 TB LOCK: Elite SLG & AB Volume,10
664040,Brandon Lowe,2,Pittsburgh Pirates,Robbie Ray,4.27,0.474,5.1,0.405,2.0,99.0,💎 TB LOCK: Elite SLG & AB Volume,11
672569,Gustavo Campero,4,Los Angeles Angels,Parker Messick,3.89,0.514,5.1,0.405,1.98,98.8,💎 TB LOCK: Elite SLG & AB Volume,12
694673,Abimelec Ortiz,1,Washington Nationals,Ryan Feltner,4.27,0.466,5.1,0.405,1.97,98.4,💎 TB LOCK: Elite SLG & AB Volume,13
682998,Corbin Carroll,1,Arizona Diamondbacks,Kevin Gausman,4.27,0.466,5.1,0.405,1.97,98.3,💎 TB LOCK: Elite SLG & AB Volume,14
686797,Brooks Lee,3,Minnesota Twins,Jeffrey Springs,4.27,0.464,5.1,0.405,1.96,97.8,💎 TB LOCK: Elite SLG & AB Volume,15
664954,Brett Sullivan,2,Colorado Rockies,Cade Cavalli,4.27,0.455,5.1,0.405,1.92,95.9,💎 TB LOCK: Elite SLG & AB Volume,16
672515,Gabriel Moreno,2,Arizona Diamondbacks,Kevin Gausman,4.27,0.451,5.1,0.405,1.9,95.1,💎 TB LOCK: Elite SLG & AB Volume,17
701162,Ben Malgeri,1,Detroit Tigers,Drew Rasmussen,4.27,0.437,5.1,0.405,1.84,92.1,💎 TB LOCK: Elite SLG & AB Volume,18
608369,Corey Seager,3,Texas Rangers,José Urquidy,4.27,0.437,5.1,0.405,1.84,92.1,💎 TB LOCK: Elite SLG & AB Volume,19
678246,Miguel Vargas,9,Chicago White Sox,Kumar Rocker,3.42,0.54,5.1,0.405,1.82,91.1,💎 TB LOCK: Elite SLG & AB Volume,20
547180,Bryce Harper,4,Philadelphia Phillies,Logan Gilbert,3.89,0.467,5.1,0.405,1.79,89.7,💎 TB LOCK: Elite SLG & AB Volume,21
805811,Bryce Eldridge,2,San Francisco Giants,Chase Burns,4.27,0.421,5.1,0.405,1.78,88.8,💎 TB LOCK: Elite SLG & AB Volume,22
664761,Alec Bohm,1,Philadelphia Phillies,Logan Gilbert,4.27,0.419,5.1,0.405,1.77,88.4,💎 TB LOCK: Elite SLG & AB Volume,23
543510,James McCann,5,Arizona Diamondbacks,Kevin Gausman,3.89,0.459,5.1,0.405,1.76,88.2,💎 TB LOCK: Elite SLG & AB Volume,24
656577,Alex Jackson,2,Minnesota Twins,Jeffrey Springs,4.27,0.417,5.1,0.405,1.76,87.9,💎 TB LOCK: Elite SLG & AB Volume,25
682657,Angel Martínez,2,Cleveland Guardians,George Klassen,4.27,0.416,5.1,0.405,1.76,87.8,💎 TB LOCK: Elite SLG & AB Volume,26
664023,Ian Happ,4,Chicago Cubs,Merrill Kelly,3.89,0.456,5.1,0.405,1.75,87.6,💎 TB LOCK: Elite SLG & AB Volume,27
666176,Jo Adell,7,Cleveland Guardians,George Klassen,3.42,0.515,5.1,0.405,1.74,87.0,💎 TB LOCK: Elite SLG & AB Volume,28
664983,Jake McCarthy,6,Colorado Rockies,Cade Cavalli,3.89,0.45,5.1,0.405,1.73,86.6,💎 TB LOCK: Elite SLG & AB Volume,29
691406,Junior Caminero,6,Tampa Bay Rays,Framber Valdez,3.89,0.45,5.1,0.405,1.73,86.5,💎 TB LOCK: Elite SLG & AB Volume,30
701538,Jackson Merrill,5,San Diego Padres,Braxton Ashcraft,3.89,0.45,5.1,0.405,1.73,86.4,💎 TB LOCK: Elite SLG & AB Volume,31
668800,Andrew Knizner,1,San Francisco Giants,Chase Burns,4.27,0.4,5.1,0.405,1.69,84.4,💎 TB LOCK: Elite SLG & AB Volume,32
691277,Deyvison De Los Santos,3,Miami Marlins,Ranger Suarez,4.27,0.4,5.1,0.405,1.69,84.3,💎 TB LOCK: Elite SLG & AB Volume,33
701785,Kaelen Culpepper,6,Minnesota Twins,Jeffrey Springs,3.89,0.435,5.1,0.405,1.67,83.7,💎 TB LOCK: Elite SLG & AB Volume,34
605137,Josh Bell,5,Minnesota Twins,Jeffrey Springs,3.89,0.436,5.1,0.405,1.67,83.7,💎 TB LOCK: Elite SLG & AB Volume,35
553993,Eugenio Suárez,3,Cincinnati Reds,TBD Pitcher,4.27,0.39,5.1,0.41,1.67,83.3,💎 TB LOCK: Elite SLG & AB Volume,36
667452,Corey Julks,4,Detroit Tigers,Drew Rasmussen,3.89,0.433,5.1,0.405,1.67,83.3,💎 TB LOCK: Elite SLG & AB Volume,37
669016,Brandon Marsh,2,Philadelphia Phillies,Logan Gilbert,4.27,0.393,5.1,0.405,1.66,83.0,💎 TB LOCK: Elite SLG & AB Volume,38
800050,Chase DeLauter,5,Cleveland Guardians,George Klassen,3.89,0.431,5.1,0.405,1.66,82.9,💎 TB LOCK: Elite SLG & AB Volume,39
691783,Jordan Lawlar,6,Arizona Diamondbacks,Kevin Gausman,3.89,0.429,5.1,0.405,1.65,82.4,💎 TB LOCK: Elite SLG & AB Volume,40
682928,CJ Abrams,5,Washington Nationals,Ryan Feltner,3.89,0.428,5.1,0.405,1.64,82.2,💎 TB LOCK: Elite SLG & AB Volume,41
681715,Heriberto Hernández,6,Miami Marlins,Ranger Suarez,3.89,0.421,5.1,0.405,1.62,80.8,💎 TB LOCK: Elite SLG & AB Volume,42
682829,Elly De La Cruz,2,Cincinnati Reds,TBD Pitcher,4.27,0.378,5.1,0.41,1.61,80.7,💎 TB LOCK: Elite SLG & AB Volume,43
678882,Ceddanne Rafaela,5,Boston Red Sox,Sandy Alcantara,3.89,0.418,5.1,0.405,1.61,80.3,💎 TB LOCK: Elite SLG & AB Volume,44
686527,Dominic Canzone,4,Seattle Mariners,Zack Wheeler,3.89,0.416,5.1,0.405,1.6,79.9,🎯 TB TARGET: Strong XBH Spot,45
643217,Andrew Benintendi,1,Chicago White Sox,Kumar Rocker,4.27,0.378,5.1,0.405,1.59,79.6,🎯 TB TARGET: Strong XBH Spot,46
657136,Connor Wong,6,Boston Red Sox,Sandy Alcantara,3.89,0.412,5.1,0.405,1.58,79.2,🎯 TB TARGET: Strong XBH Spot,47
699013,Esmerlyn Valdez,4,Pittsburgh Pirates,Robbie Ray,3.89,0.41,5.1,0.405,1.58,78.8,🎯 TB TARGET: Strong XBH Spot,48
690993,Colt Keith,3,Detroit Tigers,Drew Rasmussen,4.27,0.373,5.1,0.405,1.57,78.6,🎯 TB TARGET: Strong XBH Spot,49
802415,Chandler Simpson,2,Tampa Bay Rays,Framber Valdez,4.27,0.371,5.1,0.405,1.57,78.3,🎯 TB TARGET: Strong XBH Spot,50
805367,Chase Meidroth,4,Chicago White Sox,Kumar Rocker,3.89,0.401,5.1,0.405,1.54,77.0,🎯 TB TARGET: Strong XBH Spot,51
667472,Dane Myers,1,Cincinnati Reds,TBD Pitcher,4.27,0.361,5.1,0.41,1.54,77.0,🎯 TB TARGET: Strong XBH Spot,52
676356,Jonny DeLuca,4,Tampa Bay Rays,Framber Valdez,3.89,0.399,5.1,0.405,1.53,76.6,🎯 TB TARGET: Strong XBH Spot,53
701678,Hao-Yu Lee,8,Detroit Tigers,Drew Rasmussen,3.42,0.45,5.1,0.405,1.52,75.9,🎯 TB TARGET: Strong XBH Spot,54
682634,Kevin Alcántara,5,Chicago Cubs,Merrill Kelly,3.89,0.394,5.1,0.405,1.51,75.7,🎯 TB TARGET: Strong XBH Spot,55
642350,Jose Siri,5,Los Angeles Angels,Parker Messick,3.89,0.394,5.1,0.405,1.51,75.7,🎯 TB TARGET: Strong XBH Spot,56
657757,Gavin Sheets,4,San Diego Padres,Braxton Ashcraft,3.89,0.392,5.1,0.405,1.51,75.3,🎯 TB TARGET: Strong XBH Spot,57
703607,Henry Bolte,6,Athletics,Zebby Matthews,3.89,0.392,5.1,0.405,1.51,75.3,🎯 TB TARGET: Strong XBH Spot,58
669134,Luis Campusano,8,San Diego Padres,Braxton Ashcraft,3.42,0.445,5.1,0.405,1.5,75.1,🎯 TB TARGET: Strong XBH Spot,59
691594,Javier Sanoja,8,Miami Marlins,Ranger Suarez,3.42,0.442,5.1,0.405,1.49,74.5,🎯 TB TARGET: Strong XBH Spot,60
694197,Angel Genao,1,Cleveland Guardians,George Klassen,4.27,0.353,5.1,0.405,1.49,74.4,🎯 TB TARGET: Strong XBH Spot,61
608348,Carson Kelly,2,Chicago Cubs,Merrill Kelly,4.27,0.352,5.1,0.405,1.49,74.3,🎯 TB TARGET: Strong XBH Spot,62
647304,Josh Naylor,6,Seattle Mariners,Zack Wheeler,3.89,0.386,5.1,0.405,1.48,74.2,🎯 TB TARGET: Strong XBH Spot,63
694249,Cole Carrigg,3,Colorado Rockies,Cade Cavalli,4.27,0.352,5.1,0.405,1.48,74.2,🎯 TB TARGET: Strong XBH Spot,64
691781,Brady House,4,Washington Nationals,Ryan Feltner,3.89,0.385,5.1,0.405,1.48,73.9,🎯 TB TARGET: Strong XBH Spot,65
801126,Brock Rodden,1,Seattle Mariners,Zack Wheeler,4.27,0.35,5.1,0.405,1.48,73.9,🎯 TB TARGET: Strong XBH Spot,66
595978,Austin Hedges,3,Cleveland Guardians,George Klassen,4.27,0.349,5.1,0.405,1.47,73.7,🎯 TB TARGET: Strong XBH Spot,67
687551,Drew Gilbert,6,San Francisco Giants,Chase Burns,3.89,0.382,5.1,0.405,1.47,73.4,🎯 TB TARGET: Strong XBH Spot,68
666160,Mickey Moniak,8,Colorado Rockies,Cade Cavalli,3.42,0.435,5.1,0.405,1.47,73.4,🎯 TB TARGET: Strong XBH Spot,69
668804,Bryan Reynolds,3,Pittsburgh Pirates,Robbie Ray,4.27,0.347,5.1,0.405,1.46,73.2,🎯 TB TARGET: Strong XBH Spot,70
683737,Michael Busch,6,Chicago Cubs,Merrill Kelly,3.89,0.379,5.1,0.405,1.46,72.9,🎯 TB TARGET: Strong XBH Spot,71
622268,Donovan Walton,5,Athletics,Zebby Matthews,3.89,0.378,5.1,0.405,1.45,72.6,🎯 TB TARGET: Strong XBH Spot,72
665923,Esteury Ruiz,4,Miami Marlins,Ranger Suarez,3.89,0.377,5.1,0.405,1.45,72.5,🎯 TB TARGET: Strong XBH Spot,73
668709,JJ Bleday,6,Cincinnati Reds,TBD Pitcher,3.89,0.373,5.1,0.41,1.45,72.5,🎯 TB TARGET: Strong XBH Spot,74
695657,Colson Montgomery,5,Chicago White Sox,Kumar Rocker,3.89,0.375,5.1,0.405,1.44,72.1,🎯 TB TARGET: Strong XBH Spot,75
689414,Liam Hicks,8,Tampa Bay Rays,Framber Valdez,3.42,0.427,5.1,0.405,1.44,72.0,🎯 TB TARGET: Strong XBH Spot,76
666018,Jonathan Aranda,3,Tampa Bay Rays,Framber Valdez,4.27,0.341,5.1,0.405,1.44,71.9,🎯 TB TARGET: Strong XBH Spot,77
607043,Brandon Nimmo,1,Texas Rangers,José Urquidy,4.27,0.341,5.1,0.405,1.44,71.9,🎯 TB TARGET: Strong XBH Spot,78
666126,Carlos Cortes,3,Athletics,Zebby Matthews,4.27,0.339,5.1,0.405,1.43,71.6,🎯 TB TARGET: Strong XBH Spot,79
702332,Caleb Durbin,4,Boston Red Sox,Sandy Alcantara,3.89,0.373,5.1,0.405,1.43,71.6,🎯 TB TARGET: Strong XBH Spot,80
624428,Adam Frazier,1,Los Angeles Angels,Parker Messick,4.27,0.339,5.1,0.405,1.43,71.5,🎯 TB TARGET: Strong XBH Spot,81
665019,Kody Clemens,7,Minnesota Twins,Jeffrey Springs,3.42,0.422,5.1,0.405,1.43,71.3,🎯 TB TARGET: Strong XBH Spot,82
656537,Derek Hill,6,Philadelphia Phillies,Logan Gilbert,3.89,0.37,5.1,0.405,1.42,71.2,🎯 TB TARGET: Strong XBH Spot,83
695731,Braden Montgomery,2,Chicago White Sox,Kumar Rocker,4.27,0.337,5.1,0.405,1.42,71.1,🎯 TB TARGET: Strong XBH Spot,84
694203,Denzer Guzman,3,Los Angeles Angels,Parker Messick,4.27,0.335,5.1,0.405,1.41,70.6,🎯 TB TARGET: Strong XBH Spot,85
671732,Lawrence Butler,9,Athletics,Zebby Matthews,3.42,0.418,5.1,0.405,1.41,70.6,🎯 TB TARGET: Strong XBH Spot,86
681082,Bryson Stott,5,Philadelphia Phillies,Logan Gilbert,3.89,0.367,5.1,0.405,1.41,70.5,🎯 TB TARGET: Strong XBH Spot,87
545121,Ildemaro Vargas,4,Arizona Diamondbacks,Kevin Gausman,3.89,0.367,5.1,0.405,1.41,70.4,🎯 TB TARGET: Strong XBH Spot,88
640902,Jhonny Pereda,5,Seattle Mariners,Zack Wheeler,3.89,0.365,5.1,0.405,1.4,70.2,🎯 TB TARGET: Strong XBH Spot,89
