player_id,player_name,order,team,opp_pitcher,p_hand,b_hand,iso,current_drought_pa,current_drought_games,mean_interval_pa,saturation,rho_shape,prob,score,target_call,rank
621439,Byron Buxton,2,Minnesota Twins,Randy Vásquez,R,R,0.268,62,14,15.5,4.0,1.12,0.2907,92.5,👑 APEX: Due Saturation Surge,1
804668,Rafael Flores Jr.,6,Pittsburgh Pirates,Yoshinobu Yamamoto,R,R,0.416,1,1,14.0,0.07,1.06,0.2458,83.4,🛑 RESET: HR Just Occurred,2
680664,Eduardo Valencia,5,Detroit Tigers,Noah Cameron,L,R,0.40700000000000003,0,0,14.0,0.0,1.06,0.2385,81.3,🛑 RESET: HR Just Occurred,3
691718,Pete Crow-Armstrong,1,Chicago Cubs,Emerson Hancock,R,L,0.271,41,10,18.4,2.23,1.12,0.2368,80.8,👑 APEX: Due Saturation Surge,4
660271,Shohei Ohtani,1,Los Angeles Dodgers,Bubba Chandler,R,L,0.26300000000000007,26,6,18.0,1.44,1.12,0.2314,79.1,👑 APEX: Due Saturation Surge,5
670541,Yordan Alvarez,2,Houston Astros,J.T. Ginn,R,L,0.294,4,1,15.4,0.26,1.12,0.2292,78.3,🛑 RESET: HR Just Occurred,6
695506,Jac Caglianone,3,Kansas City Royals,Troy Melton,R,L,0.21599999999999997,70,19,21.0,3.33,1.12,0.2196,74.9,👑 APEX: Due Saturation Surge,7
808959,Munetaka Murakami,2,Chicago White Sox,Sean Manaea,L,L,0.30300000000000005,0,0,14.0,0.0,1.12,0.2195,74.8,🛑 RESET: HR Just Occurred,8
571970,Max Muncy,4,Los Angeles Dodgers,Bubba Chandler,R,L,0.246,11,4,17.6,0.62,1.12,0.2182,74.3,⚾ Normal Cycle Range,9
666160,Mickey Moniak,7,Colorado Rockies,Joey Cantillo,L,L,0.273,5,2,16.6,0.3,1.12,0.2164,73.7,🛑 RESET: HR Just Occurred,10
665833,Oneil Cruz,5,Pittsburgh Pirates,Yoshinobu Yamamoto,R,L,0.21399999999999997,15,4,19.3,0.78,1.12,0.2049,69.0,⚾ Normal Cycle Range,11
545341,Randal Grichuk,4,Chicago White Sox,Sean Manaea,L,R,0.129,38,19,20.1,1.89,1.06,0.2017,67.6,👑 APEX: Due Saturation Surge,12
673548,Seiya Suzuki,2,Chicago Cubs,Emerson Hancock,R,R,0.21499999999999997,43,10,22.0,1.95,1.12,0.1995,66.6,👑 APEX: Due Saturation Surge,13
678246,Miguel Vargas,3,Chicago White Sox,Sean Manaea,L,R,0.247,11,3,19.7,0.56,1.12,0.195,64.6,⚾ Normal Cycle Range,14
571448,Nolan Arenado,5,Arizona Diamondbacks,Nick Lodolo,L,R,0.2,52,14,23.1,2.25,1.12,0.1937,64.0,👑 APEX: Due Saturation Surge,15
572233,Christian Walker,5,Houston Astros,J.T. Ginn,R,R,0.21,30,8,21.9,1.37,1.12,0.1932,63.7,👑 APEX: Due Saturation Surge,16
592518,Manny Machado,3,San Diego Padres,Connor Prielipp,L,R,0.19799999999999998,32,8,22.2,1.44,1.12,0.1918,63.1,👑 APEX: Due Saturation Surge,17
695657,Colson Montgomery,5,Chicago White Sox,Sean Manaea,L,L,0.217,8,2,19.5,0.41,1.12,0.1915,62.9,⚾ Normal Cycle Range,18
679529,Spencer Torkelson,6,Detroit Tigers,Noah Cameron,L,R,0.18699999999999997,86,23,24.8,3.47,1.12,0.1901,62.3,👑 APEX: Due Saturation Surge,19
680869,Zack Gelof,3,Athletics,Hayden Wesneski,R,R,0.21199999999999997,17,10,20.7,0.82,1.06,0.1885,61.5,⚾ Normal Cycle Range,20
624424,Michael Conforto,8,Chicago Cubs,Emerson Hancock,R,L,0.216,38,17,22.5,1.69,1.06,0.1812,58.0,👑 APEX: Due Saturation Surge,21
664034,Ty France,4,San Diego Padres,Connor Prielipp,L,R,0.22000000000000003,12,5,21.5,0.56,1.12,0.18,57.4,⚾ Normal Cycle Range,22
694671,Wyatt Langford,3,Texas Rangers,Reid Detmers,L,R,0.203,51,12,23.1,2.21,1.06,0.1794,57.2,👑 APEX: Due Saturation Surge,23
665019,Kody Clemens,5,Minnesota Twins,Randy Vásquez,R,L,0.22900000000000004,10,3,21.4,0.47,1.12,0.1779,56.4,⚾ Normal Cycle Range,24
663993,Nathaniel Lowe,5,Cleveland Guardians,Tanner Gordon,R,L,0.21900000000000003,34,14,22.9,1.48,1.06,0.1772,56.1,👑 APEX: Due Saturation Surge,25
553993,Eugenio Suárez,4,Cincinnati Reds,Eduardo Rodriguez,L,R,0.205,9,2,21.3,0.42,1.12,0.177,56.0,⚾ Normal Cycle Range,26
679822,Justin Foscue,1,Texas Rangers,Reid Detmers,L,R,0.22099999999999997,4,3,21.2,0.19,1.06,0.173,54.0,🛑 RESET: HR Just Occurred,27
701398,Sal Stewart,2,Cincinnati Reds,Eduardo Rodriguez,L,R,0.21499999999999997,4,1,20.5,0.2,1.12,0.1722,53.6,🛑 RESET: HR Just Occurred,28
642350,Jose Siri,5,Los Angeles Angels,MacKenzie Gore,L,R,0.20600000000000002,11,9,22.3,0.49,1.06,0.172,53.5,⚾ Normal Cycle Range,29
677594,Julio Rodríguez,4,Seattle Mariners,Matthew Boyd,L,R,0.16299999999999998,61,14,26.7,2.28,1.12,0.1701,52.5,👑 APEX: Due Saturation Surge,30
608369,Corey Seager,2,Texas Rangers,Reid Detmers,L,L,0.19699999999999998,4,1,22.0,0.18,1.06,0.167,51.0,🛑 RESET: HR Just Occurred,31
596019,Francisco Lindor,2,New York Mets,Sean Burke,R,S,0.187,79,17,25.8,3.06,1.06,0.1651,50.0,👑 APEX: Due Saturation Surge,32
666176,Jo Adell,4,Cleveland Guardians,Tanner Gordon,R,R,0.271,40,10,26.9,1.49,1.12,0.1615,48.3,👑 APEX: Due Saturation Surge,33
677951,Bobby Witt Jr.,2,Kansas City Royals,Troy Melton,R,R,0.17700000000000005,120,27,30.4,3.95,1.12,0.1601,47.6,👑 APEX: Due Saturation Surge,34
693307,Dillon Dingler,4,Detroit Tigers,Noah Cameron,L,R,0.235,0,0,19.2,0.0,1.12,0.1597,47.4,🛑 RESET: HR Just Occurred,35
680777,Ryan Jeffers,4,Minnesota Twins,Randy Vásquez,R,R,0.21000000000000002,38,9,26.0,1.46,1.06,0.1576,46.3,👑 APEX: Due Saturation Surge,36
686797,Brooks Lee,8,Minnesota Twins,Randy Vásquez,R,S,0.175,33,11,27.2,1.21,1.12,0.1565,45.8,🔥 TARGET: Active Hazard Cycle,37
664040,Brandon Lowe,2,Pittsburgh Pirates,Yoshinobu Yamamoto,R,L,0.22699999999999998,0,0,19.7,0.0,1.12,0.1555,45.3,🛑 RESET: HR Just Occurred,38
641680,Jonah Heim,7,Athletics,Hayden Wesneski,R,S,0.17899999999999996,40,11,26.7,1.5,1.06,0.154,44.5,👑 APEX: Due Saturation Surge,39
701358,Cam Smith,7,Houston Astros,J.T. Ginn,R,R,0.17600000000000002,21,5,26.8,0.78,1.12,0.1517,43.4,⚾ Normal Cycle Range,40
686527,Dominic Canzone,3,Seattle Mariners,Matthew Boyd,L,L,0.23199999999999998,0,0,20.3,0.0,1.12,0.1508,42.9,🛑 RESET: HR Just Occurred,41
605141,Mookie Betts,5,Los Angeles Dodgers,Bubba Chandler,R,R,0.175,5,1,23.9,0.21,1.12,0.1497,42.4,🛑 RESET: HR Just Occurred,42
668227,Randy Arozarena,2,Seattle Mariners,Matthew Boyd,L,R,0.177,54,13,30.4,1.78,1.12,0.147,41.1,👑 APEX: Due Saturation Surge,43
668709,JJ Bleday,6,Cincinnati Reds,Eduardo Rodriguez,L,L,0.214,0,0,20.8,0.0,1.12,0.1471,41.1,🛑 RESET: HR Just Occurred,44
682829,Elly De La Cruz,1,Cincinnati Reds,Eduardo Rodriguez,L,S,0.20800000000000002,4,1,24.4,0.16,1.12,0.144,39.7,🛑 RESET: HR Just Occurred,45
670623,Isaac Paredes,3,Houston Astros,J.T. Ginn,R,R,0.16199999999999998,74,18,32.1,2.31,1.12,0.1437,39.5,👑 APEX: Due Saturation Surge,46
666139,Josh Lowe,7,Los Angeles Angels,MacKenzie Gore,L,L,0.153,4,1,25.7,0.16,1.06,0.1435,39.4,🛑 RESET: HR Just Occurred,47
673357,Luis Robert Jr.,6,New York Mets,Sean Burke,R,R,0.147,5,1,26.1,0.19,1.06,0.1426,39.0,🛑 RESET: HR Just Occurred,48
665487,Fernando Tatis Jr.,1,San Diego Padres,Connor Prielipp,L,R,0.15399999999999997,236,55,37.0,6.38,1.12,0.1408,38.1,👑 APEX: Due Saturation Surge,49
701538,Jackson Merrill,5,San Diego Padres,Connor Prielipp,L,L,0.16799999999999998,12,3,27.5,0.44,1.12,0.1398,37.7,⚾ Normal Cycle Range,50
663728,Cal Raleigh,7,Seattle Mariners,Matthew Boyd,L,S,0.13999999999999999,43,10,30.2,1.42,1.06,0.137,36.4,👑 APEX: Due Saturation Surge,51
664023,Ian Happ,5,Chicago Cubs,Emerson Hancock,R,S,0.19100000000000003,5,1,26.1,0.19,1.12,0.1366,36.2,🛑 RESET: HR Just Occurred,52
680574,Matt McLain,5,Cincinnati Reds,Eduardo Rodriguez,L,R,0.15799999999999997,107,25,32.1,3.33,1.06,0.1356,35.7,👑 APEX: Due Saturation Surge,53
543760,Marcus Semien,8,New York Mets,Sean Burke,R,R,0.142,28,7,30.0,0.93,1.06,0.1349,35.4,🔥 TARGET: Active Hazard Cycle,54
694378,Jacob Gonzalez,8,Pittsburgh Pirates,Yoshinobu Yamamoto,R,L,0.11599999999999999,17,5,29.2,0.58,1.06,0.135,35.4,⚾ Normal Cycle Range,55
687263,Zach Neto,1,Los Angeles Angels,MacKenzie Gore,L,R,0.19099999999999998,5,1,26.4,0.19,1.12,0.135,35.4,🛑 RESET: HR Just Occurred,56
682626,Francisco Alvarez,9,New York Mets,Sean Burke,R,R,0.173,0,0,25.4,0.0,1.06,0.1349,35.4,🛑 RESET: HR Just Occurred,57
673237,Yainer Diaz,6,Houston Astros,J.T. Ginn,R,R,0.14,49,11,31.0,1.58,1.06,0.1345,35.2,👑 APEX: Due Saturation Surge,58
650489,Willi Castro,5,Colorado Rockies,Joey Cantillo,L,S,0.16099999999999998,40,10,30.7,1.3,1.06,0.1343,35.1,👑 APEX: Due Saturation Surge,59
605137,Josh Bell,3,Minnesota Twins,Randy Vásquez,R,S,0.175,16,4,29.4,0.54,1.12,0.1342,35.1,⚾ Normal Cycle Range,60
669394,Jake Burger,6,Texas Rangers,Reid Detmers,L,R,0.183,0,0,23.0,0.0,1.12,0.1325,34.3,🛑 RESET: HR Just Occurred,61
694374,Tim Tawa,6,Arizona Diamondbacks,Nick Lodolo,L,R,0.15000000000000002,44,15,32.1,1.37,1.06,0.1292,32.8,👑 APEX: Due Saturation Surge,62
650859,Luis Rengifo,2,San Diego Padres,Connor Prielipp,L,S,0.05,223,61,32.0,6.97,1.02,0.1289,32.7,🔥 TARGET: Active Hazard Cycle,63
676724,Jared Young,5,New York Mets,Sean Burke,R,L,0.177,30,14,31.5,0.95,1.06,0.129,32.7,🔥 TARGET: Active Hazard Cycle,64
669707,Jared Triolo,9,Pittsburgh Pirates,Yoshinobu Yamamoto,R,R,0.07,168,51,32.0,5.25,1.02,0.1283,32.4,🔥 TARGET: Active Hazard Cycle,65
682998,Corbin Carroll,2,Arizona Diamondbacks,Nick Lodolo,L,L,0.238,12,3,29.9,0.4,1.12,0.1282,32.4,⚾ Normal Cycle Range,66
814439,Ryan Waldschmidt,9,Arizona Diamondbacks,Nick Lodolo,L,R,0.11199999999999999,139,38,32.0,4.34,1.02,0.1278,32.2,🔥 TARGET: Active Hazard Cycle,67
682668,Luisangel Acuña,7,Chicago White Sox,Sean Manaea,L,R,0.05,135,53,32.0,4.22,1.02,0.1278,32.2,🔥 TARGET: Active Hazard Cycle,68
666023,Freddy Fermin,8,San Diego Padres,Connor Prielipp,L,R,0.11499999999999999,119,45,32.0,3.72,1.02,0.1275,32.1,🔥 TARGET: Active Hazard Cycle,69
663968,Jake Mangum,7,Pittsburgh Pirates,Yoshinobu Yamamoto,R,S,0.08900000000000002,109,39,32.0,3.41,1.02,0.1273,32.0,🔥 TARGET: Active Hazard Cycle,70
695720,Tommy White,6,Athletics,Hayden Wesneski,R,R,0.07300000000000001,97,25,32.0,3.03,1.02,0.127,31.9,🔥 TARGET: Active Hazard Cycle,71
694203,Denzer Guzman,6,Los Angeles Angels,MacKenzie Gore,L,R,0.132,38,9,32.5,1.17,1.06,0.1266,31.7,🔥 TARGET: Active Hazard Cycle,72
690984,Petey Halpin,9,Cleveland Guardians,Tanner Gordon,R,L,0.093,71,33,32.0,2.22,1.02,0.1263,31.6,🔥 TARGET: Active Hazard Cycle,73
664983,Jake McCarthy,1,Colorado Rockies,Joey Cantillo,L,L,0.195,73,26,33.8,2.16,1.06,0.1262,31.5,👑 APEX: Due Saturation Surge,74
676439,Hunter Feduccia,9,Los Angeles Dodgers,Bubba Chandler,R,L,0.10600000000000001,62,27,32.0,1.94,1.02,0.126,31.4,🔥 TARGET: Active Hazard Cycle,75
668670,Jake Rogers,8,Chicago White Sox,Sean Manaea,L,R,0.05,59,18,32.0,1.84,1.02,0.1258,31.3,🔥 TARGET: Active Hazard Cycle,76
622268,Donovan Walton,8,Athletics,Hayden Wesneski,R,L,0.10900000000000001,55,17,32.0,1.72,1.02,0.1257,31.3,🔥 TARGET: Active Hazard Cycle,77
624431,Jose Trevino,7,Cincinnati Reds,Eduardo Rodriguez,L,R,0.14700000000000002,55,18,32.0,1.72,1.02,0.1257,31.3,🔥 TARGET: Active Hazard Cycle,78
683737,Michael Busch,3,Chicago Cubs,Emerson Hancock,R,L,0.14400000000000002,93,22,37.6,2.47,1.12,0.125,31.0,👑 APEX: Due Saturation Surge,79
680757,Steven Kwan,1,Cleveland Guardians,Tanner Gordon,R,L,0.062,43,10,32.0,1.34,1.02,0.1251,31.0,🔥 TARGET: Active Hazard Cycle,80
701162,Ben Malgeri,7,Detroit Tigers,Noah Cameron,L,R,0.187,42,19,32.0,1.31,1.02,0.1251,31.0,🔥 TARGET: Active Hazard Cycle,81
630105,Jake Cronenworth,9,San Diego Padres,Connor Prielipp,L,L,0.07299999999999998,42,11,32.0,1.31,1.02,0.1251,31.0,🔥 TARGET: Active Hazard Cycle,82
686668,Brenton Doyle,6,Chicago White Sox,Sean Manaea,L,R,0.12100000000000002,39,12,32.0,1.22,1.02,0.1249,31.0,🔥 TARGET: Active Hazard Cycle,83
518595,Travis d'Arnaud,8,Los Angeles Angels,MacKenzie Gore,L,R,0.08300000000000002,38,13,32.0,1.19,1.02,0.1249,31.0,🔥 TARGET: Active Hazard Cycle,84
669397,Nick Allen,9,Houston Astros,J.T. Ginn,R,R,0.08399999999999996,37,24,32.0,1.16,1.02,0.1248,30.9,🔥 TARGET: Active Hazard Cycle,85
669242,Tommy Edman,7,Los Angeles Dodgers,Bubba Chandler,R,S,0.14099999999999996,37,10,32.0,1.16,1.02,0.1248,30.9,🔥 TARGET: Active Hazard Cycle,86
686681,Michael Massey,7,Kansas City Royals,Troy Melton,R,L,0.16899999999999998,27,12,32.4,0.83,1.06,0.1248,30.9,⚾ Normal Cycle Range,87
668904,Royce Lewis,6,Minnesota Twins,Randy Vásquez,R,R,0.179,3,1,29.3,0.1,1.06,0.1248,30.9,🛑 RESET: HR Just Occurred,88
595879,Javier Báez,9,Detroit Tigers,Noah Cameron,L,R,0.09499999999999997,34,9,32.0,1.06,1.02,0.1246,30.8,🔥 TARGET: Active Hazard Cycle,89
687597,Jordan Beck,6,Colorado Rockies,Joey Cantillo,L,R,0.125,33,11,32.0,1.03,1.02,0.1245,30.8,🔥 TARGET: Active Hazard Cycle,90
683227,Cody Freeman,7,Texas Rangers,Reid Detmers,L,R,0.05,32,12,32.0,1.0,1.02,0.1245,30.8,🔥 TARGET: Active Hazard Cycle,91
545361,Mike Trout,2,Los Angeles Angels,MacKenzie Gore,L,R,0.195,0,0,24.4,0.0,1.12,0.1246,30.8,🛑 RESET: HR Just Occurred,92
669911,Michael Toglia,8,Cincinnati Reds,Eduardo Rodriguez,L,S,0.077,28,9,32.0,0.88,1.02,0.1242,30.7,⚾ Normal Cycle Range,93
699393,Pedro Ramírez,7,Chicago Cubs,Emerson Hancock,R,S,0.131,26,11,32.0,0.81,1.02,0.124,30.6,⚾ Normal Cycle Range,94
606192,Teoscar Hernández,8,Los Angeles Dodgers,Bubba Chandler,R,R,0.15100000000000002,25,7,32.5,0.77,1.06,0.1239,30.5,⚾ Normal Cycle Range,95
801126,Brock Rodden,9,Seattle Mariners,Matthew Boyd,L,S,0.2,24,6,32.0,0.75,1.02,0.1239,30.5,⚾ Normal Cycle Range,96
669384,Raynel Delgado,8,Houston Astros,J.T. Ginn,R,L,0.11399999999999999,23,12,32.0,0.72,1.02,0.1238,30.5,⚾ Normal Cycle Range,97
691783,Jordan Lawlar,7,Arizona Diamondbacks,Nick Lodolo,L,R,0.10399999999999998,17,5,32.0,0.53,1.02,0.1231,30.2,⚾ Normal Cycle Range,98
694197,Angel Genao,6,Cleveland Guardians,Tanner Gordon,R,S,0.11099999999999999,13,3,32.0,0.41,1.02,0.1226,30.0,⚾ Normal Cycle Range,99
669720,Austin Hays,7,San Diego Padres,Connor Prielipp,L,R,0.093,10,3,32.0,0.31,1.02,0.1221,29.8,🛑 RESET: HR Just Occurred,100
695600,Carter Jensen,1,Kansas City Royals,Troy Melton,R,L,0.18000000000000002,6,2,29.5,0.2,1.12,0.1221,29.8,🛑 RESET: HR Just Occurred,101
664728,Kyle Isbel,9,Kansas City Royals,Troy Melton,R,L,0.10300000000000001,7,2,32.0,0.22,1.02,0.1214,29.5,🛑 RESET: HR Just Occurred,102
703601,Max Clark,8,Detroit Tigers,Noah Cameron,L,L,0.14299999999999996,5,1,32.0,0.16,1.02,0.1208,29.2,🛑 RESET: HR Just Occurred,103
687462,Spencer Horwitz,1,Pittsburgh Pirates,Yoshinobu Yamamoto,R,L,0.15000000000000002,45,13,34.8,1.29,1.06,0.1194,28.7,👑 APEX: Due Saturation Surge,104
690924,Braxton Fulford,8,Colorado Rockies,Joey Cantillo,L,R,0.10699999999999998,2,2,32.0,0.06,1.02,0.1195,28.7,🛑 RESET: HR Just Occurred,105
514888,Jose Altuve,1,Houston Astros,J.T. Ginn,R,R,0.15000000000000002,18,4,33.2,0.54,1.06,0.1193,28.6,⚾ Normal Cycle Range,106
699912,Jose Fernandez,8,Arizona Diamondbacks,Nick Lodolo,L,R,0.10299999999999998,0,0,32.0,0.0,1.02,0.1175,27.9,🛑 RESET: HR Just Occurred,107
701785,Kaelen Culpepper,9,Minnesota Twins,Randy Vásquez,R,R,0.11499999999999999,0,0,32.0,0.0,1.02,0.1175,27.9,🛑 RESET: HR Just Occurred,108
680977,Brendan Donovan,1,Seattle Mariners,Matthew Boyd,L,L,0.13599999999999995,0,0,32.0,0.0,1.02,0.1175,27.9,🛑 RESET: HR Just Occurred,109
681624,Andy Pages,3,Los Angeles Dodgers,Bubba Chandler,R,R,0.187,0,0,26.1,0.0,1.12,0.1161,27.3,🛑 RESET: HR Just Occurred,110
553869,Elias Díaz,8,Texas Rangers,Reid Detmers,L,R,0.11799999999999997,8,3,33.2,0.24,1.06,0.1147,26.8,🛑 RESET: HR Just Occurred,111
518692,Freddie Freeman,2,Los Angeles Dodgers,Bubba Chandler,R,L,0.16500000000000004,21,5,35.5,0.59,1.12,0.1132,26.2,⚾ Normal Cycle Range,112
521692,Salvador Perez,4,Kansas City Royals,Troy Melton,R,R,0.149,4,1,31.1,0.13,1.12,0.1117,25.6,🛑 RESET: HR Just Occurred,113
693304,Nick Gonzales,4,Pittsburgh Pirates,Yoshinobu Yamamoto,R,R,0.09400000000000003,212,53,82.3,2.58,1.06,0.0544,25.0,👑 APEX: Due Saturation Surge,114
671976,Tristan Peters,9,Chicago White Sox,Sean Manaea,L,L,0.15399999999999997,114,42,53.7,2.12,1.06,0.0813,25.0,👑 APEX: Due Saturation Surge,115
691720,Kyle Karros,2,Colorado Rockies,Joey Cantillo,L,R,0.15899999999999997,67,21,39.6,1.69,1.06,0.1073,25.0,👑 APEX: Due Saturation Surge,116
703607,Henry Bolte,1,Athletics,Hayden Wesneski,R,R,0.09799999999999998,85,24,53.0,1.6,1.06,0.081,25.0,👑 APEX: Due Saturation Surge,117
686469,Vinnie Pasquantino,5,Kansas City Royals,Troy Melton,R,L,0.123,77,18,50.4,1.53,1.06,0.0848,25.0,👑 APEX: Due Saturation Surge,118
663647,Ke'Bryan Hayes,9,Cincinnati Reds,Eduardo Rodriguez,L,R,0.10300000000000001,60,21,39.2,1.53,1.06,0.1077,25.0,👑 APEX: Due Saturation Surge,119
805808,Kevin McGonigle,3,Detroit Tigers,Noah Cameron,L,L,0.14200000000000002,63,15,42.7,1.48,1.06,0.0991,25.0,👑 APEX: Due Saturation Surge,120
683146,Brett Baty,7,New York Mets,Sean Burke,R,L,0.11500000000000002,72,21,48.9,1.47,1.06,0.0871,25.0,👑 APEX: Due Saturation Surge,121
679845,Nick Loftin,6,Kansas City Royals,Troy Melton,R,R,0.143,92,29,64.0,1.44,1.06,0.0671,25.0,👑 APEX: Due Saturation Surge,122
666182,Bo Bichette,3,New York Mets,Sean Burke,R,R,0.122,65,14,45.7,1.42,1.06,0.0927,25.0,👑 APEX: Due Saturation Surge,123
672275,Patrick Bailey,8,Cleveland Guardians,Tanner Gordon,R,S,0.05,60,18,44.8,1.34,1.06,0.0942,25.0,👑 APEX: Due Saturation Surge,124
647304,Josh Naylor,5,Seattle Mariners,Matthew Boyd,L,L,0.10299999999999998,66,15,51.0,1.29,1.06,0.083,25.0,👑 APEX: Due Saturation Surge,125
621493,Taylor Ward,6,Seattle Mariners,Matthew Boyd,L,R,0.05299999999999999,98,21,78.0,1.26,1.06,0.055,25.0,👑 APEX: Due Saturation Surge,126
643446,Jeff McNeil,2,Athletics,Hayden Wesneski,R,L,0.09599999999999997,78,22,64.7,1.21,1.06,0.0658,25.0,🔥 TARGET: Active Hazard Cycle,127
672515,Gabriel Moreno,3,Arizona Diamondbacks,Nick Lodolo,L,R,0.16299999999999998,50,14,41.3,1.21,1.06,0.1012,25.0,🔥 TARGET: Active Hazard Cycle,128
608348,Carson Kelly,9,Chicago Cubs,Emerson Hancock,R,R,0.11199999999999999,50,14,47.6,1.05,1.06,0.0877,25.0,🔥 TARGET: Active Hazard Cycle,129
593428,Xander Bogaerts,6,San Diego Padres,Connor Prielipp,L,R,0.10900000000000001,42,10,43.7,0.96,1.06,0.0947,25.0,🔥 TARGET: Active Hazard Cycle,130
687093,Vaughn Grissom,4,Los Angeles Angels,MacKenzie Gore,L,R,0.128,43,12,47.0,0.91,1.06,0.0881,25.0,🔥 TARGET: Active Hazard Cycle,131
694497,Evan Carter,9,Texas Rangers,Reid Detmers,L,L,0.125,40,12,45.5,0.88,1.06,0.0907,25.0,⚾ Normal Cycle Range,132
662139,Daulton Varsho,4,Houston Astros,J.T. Ginn,R,L,0.132,44,12,52.9,0.83,1.06,0.0782,25.0,⚾ Normal Cycle Range,133
650402,Gleyber Torres,1,Detroit Tigers,Noah Cameron,L,R,0.13,31,7,39.0,0.79,1.06,0.1045,25.0,⚾ Normal Cycle Range,134
683953,Travis Bazzana,7,Cleveland Guardians,Tanner Gordon,R,L,0.13599999999999998,34,8,44.4,0.77,1.06,0.0921,25.0,⚾ Normal Cycle Range,135
667472,Dane Myers,3,Cincinnati Reds,Eduardo Rodriguez,L,R,0.11099999999999999,32,21,48.0,0.67,1.06,0.0849,25.0,⚾ Normal Cycle Range,136
663616,Trevor Larnach,7,Minnesota Twins,Randy Vásquez,R,L,0.15399999999999997,25,10,37.7,0.66,1.06,0.1068,25.0,⚾ Normal Cycle Range,137
608070,José Ramírez,3,Cleveland Guardians,Tanner Gordon,R,S,0.14300000000000002,26,6,41.0,0.63,1.06,0.0984,25.0,⚾ Normal Cycle Range,138
663538,Nico Hoerner,6,Chicago Cubs,Emerson Hancock,R,R,0.09799999999999998,48,11,78.4,0.61,1.06,0.0525,25.0,⚾ Normal Cycle Range,139
