player_id,player_name,order,team,opp_pitcher,matchup,season_iso,drought_games,scale_lambda,hazard_prob,hazard_score,target_call,rank
802139,JJ Wetherholt,1,St. Louis Cardinals,Andrew Painter (RHP),L vs R,0.128,0,15.0,8.0,16.0,🔄 RECENT RESET: Just Homered,1
671056,Iván Herrera,2,St. Louis Cardinals,Andrew Painter (RHP),R vs R,0.138,0,13.9,8.0,16.0,🔄 RECENT RESET: Just Homered,2
676475,Alec Burleson,3,St. Louis Cardinals,Andrew Painter (RHP),L vs R,0.2,0,9.6,8.0,16.0,🔄 RECENT RESET: Just Homered,3
691023,Jordan Walker,4,St. Louis Cardinals,Andrew Painter (RHP),R vs R,0.222,0,8.6,8.0,16.0,🔄 RECENT RESET: Just Homered,4
695491,Joshua Báez,5,St. Louis Cardinals,Andrew Painter (RHP),R vs R,0.428,0,4.5,8.0,16.0,🔄 RECENT RESET: Just Homered,5
701675,Nathan Church,6,St. Louis Cardinals,Andrew Painter (RHP),L vs R,0.12,0,16.0,8.0,16.0,🔄 RECENT RESET: Just Homered,6
665877,José Fermín,7,St. Louis Cardinals,Andrew Painter (RHP),R vs R,0.119,0,16.1,8.0,16.0,🔄 RECENT RESET: Just Homered,7
699625,Jimmy Crooks,8,St. Louis Cardinals,Andrew Painter (RHP),L vs R,0.139,0,13.8,8.0,16.0,🔄 RECENT RESET: Just Homered,8
691458,Blaze Jordan,9,St. Louis Cardinals,Andrew Painter (RHP),R vs R,0.121,0,15.9,8.0,16.0,🔄 RECENT RESET: Just Homered,9
656941,Kyle Schwarber,1,Philadelphia Phillies,Quinn Mathews (LHP),L vs L,0.28,0,6.9,8.0,16.0,🔄 RECENT RESET: Just Homered,10
607208,Trea Turner,2,Philadelphia Phillies,Quinn Mathews (LHP),R vs L,0.147,0,13.1,8.0,16.0,🔄 RECENT RESET: Just Homered,11
547180,Bryce Harper,3,Philadelphia Phillies,Quinn Mathews (LHP),L vs L,0.231,0,8.3,8.0,16.0,🔄 RECENT RESET: Just Homered,12
650333,Luis Arraez,4,Philadelphia Phillies,Quinn Mathews (LHP),L vs L,0.155,0,12.4,8.0,16.0,🔄 RECENT RESET: Just Homered,13
664761,Alec Bohm,5,Philadelphia Phillies,Quinn Mathews (LHP),R vs L,0.143,0,13.4,8.0,16.0,🔄 RECENT RESET: Just Homered,14
624641,Edmundo Sosa,6,Philadelphia Phillies,Quinn Mathews (LHP),R vs L,0.134,0,14.3,8.0,16.0,🔄 RECENT RESET: Just Homered,15
650559,Bryan De La Cruz,7,Philadelphia Phillies,Quinn Mathews (LHP),R vs L,0.226,0,8.5,8.0,16.0,🔄 RECENT RESET: Just Homered,16
592663,J.T. Realmuto,8,Philadelphia Phillies,Quinn Mathews (LHP),R vs L,0.126,0,15.2,8.0,16.0,🔄 RECENT RESET: Just Homered,17
656537,Derek Hill,9,Philadelphia Phillies,Quinn Mathews (LHP),R vs L,0.162,0,11.9,8.0,16.0,🔄 RECENT RESET: Just Homered,18
656775,Cedric Mullins,1,Tampa Bay Rays,Brandon Young (RHP),L vs R,0.146,0,13.2,8.0,16.0,🔄 RECENT RESET: Just Homered,19
802415,Chandler Simpson,2,Tampa Bay Rays,Brandon Young (RHP),L vs R,0.056,0,24.0,8.0,16.0,🔄 RECENT RESET: Just Homered,20
666018,Jonathan Aranda,3,Tampa Bay Rays,Brandon Young (RHP),L vs R,0.137,0,14.0,8.0,16.0,🔄 RECENT RESET: Just Homered,21
676356,Jonny DeLuca,4,Tampa Bay Rays,Brandon Young (RHP),R vs R,0.167,0,11.5,8.0,16.0,🔄 RECENT RESET: Just Homered,22
622761,Jorge Mateo,5,Tampa Bay Rays,Brandon Young (RHP),R vs R,0.14,0,13.7,8.0,16.0,🔄 RECENT RESET: Just Homered,23
691406,Junior Caminero,6,Tampa Bay Rays,Brandon Young (RHP),R vs R,0.26,0,7.4,8.0,16.0,🔄 RECENT RESET: Just Homered,24
700652,Kenny Piper,7,Tampa Bay Rays,Brandon Young (RHP),R vs R,0.428,0,4.5,8.0,16.0,🔄 RECENT RESET: Just Homered,25
689414,Liam Hicks,8,Tampa Bay Rays,Brandon Young (RHP),L vs R,0.15,0,12.8,8.0,16.0,🔄 RECENT RESET: Just Homered,26
663743,Nick Fortes,9,Tampa Bay Rays,Brandon Young (RHP),R vs R,0.101,0,19.0,8.0,16.0,🔄 RECENT RESET: Just Homered,27
702616,Jackson Holliday,1,Baltimore Orioles,Shane McClanahan (LHP),L vs L,0.132,0,14.5,8.0,16.0,🔄 RECENT RESET: Just Homered,28
624413,Pete Alonso,2,Baltimore Orioles,Shane McClanahan (LHP),R vs L,0.233,0,8.2,8.0,16.0,🔄 RECENT RESET: Just Homered,29
691723,Coby Mayo,3,Baltimore Orioles,Shane McClanahan (LHP),R vs L,0.226,0,8.5,8.0,16.0,🔄 RECENT RESET: Just Homered,30
641933,Tyler O'Neill,4,Baltimore Orioles,Shane McClanahan (LHP),R vs L,0.167,0,11.5,8.0,16.0,🔄 RECENT RESET: Just Homered,31
683002,Gunnar Henderson,5,Baltimore Orioles,Shane McClanahan (LHP),L vs L,0.177,0,10.8,8.0,16.0,🔄 RECENT RESET: Just Homered,32
687952,Christian Encarnacion-Strand,6,Baltimore Orioles,Shane McClanahan (LHP),R vs L,0.247,0,7.8,8.0,16.0,🔄 RECENT RESET: Just Homered,33
681047,Christian Franklin,7,Baltimore Orioles,Shane McClanahan (LHP),R vs L,0.05,0,24.0,8.0,16.0,🔄 RECENT RESET: Just Homered,34
665750,Leody Taveras,8,Baltimore Orioles,Shane McClanahan (LHP),S vs L,0.132,0,14.5,8.0,16.0,🔄 RECENT RESET: Just Homered,35
665966,Carlos Narváez,9,Baltimore Orioles,Shane McClanahan (LHP),R vs L,0.088,0,21.8,8.0,16.0,🔄 RECENT RESET: Just Homered,36
624428,Adam Frazier,1,Los Angeles Angels,Cody Bradford (LHP),L vs L,0.116,0,16.6,8.0,16.0,🔄 RECENT RESET: Just Homered,37
694203,Denzer Guzman,2,Los Angeles Angels,Cody Bradford (LHP),R vs L,0.134,0,14.3,8.0,16.0,🔄 RECENT RESET: Just Homered,38
642350,Jose Siri,3,Los Angeles Angels,Cody Bradford (LHP),R vs L,0.2,0,9.6,8.0,16.0,🔄 RECENT RESET: Just Homered,39
666139,Josh Lowe,4,Los Angeles Angels,Cody Bradford (LHP),L vs L,0.151,0,12.7,8.0,16.0,🔄 RECENT RESET: Just Homered,40
545361,Mike Trout,5,Los Angeles Angels,Cody Bradford (LHP),R vs L,0.194,0,9.9,8.0,16.0,🔄 RECENT RESET: Just Homered,41
694208,Moisés Ballesteros,6,Los Angeles Angels,Cody Bradford (LHP),L vs L,0.154,0,12.5,8.0,16.0,🔄 RECENT RESET: Just Homered,42
694384,Nolan Schanuel,7,Los Angeles Angels,Cody Bradford (LHP),L vs L,0.109,0,17.6,8.0,16.0,🔄 RECENT RESET: Just Homered,43
672724,Oswald Peraza,8,Los Angeles Angels,Cody Bradford (LHP),R vs L,0.123,0,15.6,8.0,16.0,🔄 RECENT RESET: Just Homered,44
518595,Travis d'Arnaud,9,Los Angeles Angels,Cody Bradford (LHP),R vs L,0.08,0,24.0,8.0,16.0,🔄 RECENT RESET: Just Homered,45
592626,Joc Pederson,1,Texas Rangers,Ryan Johnson (RHP),L vs R,0.244,0,7.9,8.0,16.0,🔄 RECENT RESET: Just Homered,46
