player_id,player_name,order,team,opp_pitcher,matchup,season_iso,drought_games,scale_lambda,hazard_rate,projected_due,hazard_score,target_call,rank
699013,Esmerlyn Valdez,4,Pittsburgh Pirates,Blake Snell (LHP),R vs L,0.287,23,6.7,37.8,⚡ DUE NOW (Aug 24),75.6,⚡ DUE DATE WATCH: Critical Hazard Spike,1
621439,Byron Buxton,4,Minnesota Twins,Walker Buehler (RHP),R vs R,0.262,22,7.3,32.4,⚡ DUE NOW (Aug 24),64.9,⚡ DUE DATE WATCH: Critical Hazard Spike,2
680664,Eduardo Valencia,6,Detroit Tigers,Daniel Lynch IV (LHP),R vs L,0.394,4,4.9,27.2,🔥 PEAK WINDOW (Aug 24),54.5,🔥 ELEVATED HAZARD: Approaching Due Window,3
687605,Andrew Pinckney,3,Washington Nationals,Janson Junk (RHP),R vs R,0.313,7,6.1,25.1,⚡ DUE NOW (Aug 24),50.2,⚡ DUE DATE WATCH: Critical Hazard Spike,4
691406,Junior Caminero,6,Tampa Bay Rays,Shane Baz (RHP),R vs R,0.257,10,7.5,22.1,⚡ DUE NOW (Aug 24),44.3,⚡ DUE DATE WATCH: Critical Hazard Spike,5
693307,Dillon Dingler,5,Detroit Tigers,Daniel Lynch IV (LHP),R vs L,0.231,14,8.3,22.1,⚡ DUE NOW (Aug 24),44.1,⚡ DUE DATE WATCH: Critical Hazard Spike,6
694208,Moisés Ballesteros,8,Los Angeles Angels,Cal Quantrill (RHP),L vs R,0.154,46,12.5,20.9,⚡ DUE NOW (Aug 24),41.9,⚡ DUE DATE WATCH: Critical Hazard Spike,7
518692,Freddie Freeman,5,Los Angeles Dodgers,Lake Bachar (RHP),L vs R,0.162,39,11.9,20.9,⚡ DUE NOW (Aug 24),41.8,⚡ DUE DATE WATCH: Critical Hazard Spike,8
814430,Brett Callahan,2,Detroit Tigers,Daniel Lynch IV (LHP),L vs L,0.353,3,5.4,20.4,🔥 PEAK WINDOW (Aug 25),40.8,🔥 ELEVATED HAZARD: Approaching Due Window,9
671739,Michael Harris II,9,Atlanta Braves,Shane Drohan (LHP),L vs L,0.195,20,9.8,20.3,⚡ DUE NOW (Aug 24),40.5,⚡ DUE DATE WATCH: Critical Hazard Spike,10
694673,Abimelec Ortiz,1,Washington Nationals,Janson Junk (RHP),L vs R,0.298,5,6.4,20.1,🔥 PEAK WINDOW (Aug 24),40.2,🔥 ELEVATED HAZARD: Approaching Due Window,11
621566,Matt Olson,7,Atlanta Braves,Shane Drohan (LHP),L vs L,0.277,6,6.9,19.6,🔥 PEAK WINDOW (Aug 24),39.2,🔥 ELEVATED HAZARD: Approaching Due Window,12
